"","inchikey","subclass"
"222","InChIKey=SNPLKNRPJHDVJA-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"223","InChIKey=OWMVSZAMULFTJU-UHFFFAOYSA-N","Organic nitrogen compounds"
"224","InChIKey=LYCVKHSJGDMDLM-LURJTMIESA-N","Organic acids and derivatives"
"225","InChIKey=SNEIUMQYRCDYCH-LURJTMIESA-N","Organic acids and derivatives"
"226","InChIKey=UFAHZIUFPNSHSL-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"227","InChIKey=WQXXXVRAFAKQJM-WHFBIAKZSA-N","Organic acids and derivatives"
"228","InChIKey=HJZZQNLKBWJYPD-UHFFFAOYSA-N","Organic acids and derivatives"
"229","InChIKey=ADFXKUOMJKEIND-UHFFFAOYSA-N","Organic acids and derivatives"
"230","InChIKey=CQOVPNPJLQNMDC-ZETCQYMHSA-N","Organic acids and derivatives"
"231","InChIKey=CKTSBUTUHBMZGZ-SHYZEUOFSA-N","Nucleosides, nucleotides, and analogues"
"232","InChIKey=SYELZBGXAIXKHU-UHFFFAOYSA-N","Organic nitrogen compounds"
"233","InChIKey=SSISHJJTAXXQAX-ZETCQYMHSA-N","Organic acids and derivatives"
"234","InChIKey=LRCNOZRCYBNMEP-SECBINFHSA-O","Lipids and lipid-like molecules"
"235","InChIKey=MYYIAHXIVFADCU-QMMMGPOBSA-N","Organic acids and derivatives"
"236","InChIKey=LEVWYRKDKASIDU-IMJSIDKUSA-N","Organic acids and derivatives"
"237","InChIKey=HXXFSFRBOHSIMQ-GASJEMHNSA-N","Organic oxygen compounds"
"238","InChIKey=UHDGCWIWMRVCDJ-XVFCMESISA-N","Nucleosides, nucleotides, and analogues"
"239","InChIKey=WURBQCVBQNMUQT-RMKNXTFCSA-N","Lipids and lipid-like molecules"
"240","InChIKey=VSNFQQXVMPSASB-SNVBAGLBSA-N","Lipids and lipid-like molecules"
"241","InChIKey=IGQBPDJNUXPEMT-SNVBAGLBSA-N","Lipids and lipid-like molecules"
"242","InChIKey=WVRUNFYJIHNFKD-WDSKDSINSA-N","Organic acids and derivatives"
"243","InChIKey=UEFRDQSMQXDWTO-BDAKNGLRSA-N","Lipids and lipid-like molecules"
"244","InChIKey=JLEBZPBDRKPWTD-TURQNECASA-O","Organic oxygen compounds"
"245","InChIKey=RDPUKVRQKWBSPK-ZOQUXTDFSA-N","Nucleosides, nucleotides, and analogues"
"246","InChIKey=ZAYHVCMSTBRABG-JXOAFFINSA-N","Nucleosides, nucleotides, and analogues"
"247","InChIKey=SUHOQUVVVLNYQR-MRVPVSSYSA-N","Lipids and lipid-like molecules"
"248","InChIKey=VVPRQWTYSNDTEA-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"249","InChIKey=JZRWCGZRTZMZEH-UHFFFAOYSA-N","Organoheterocyclic compounds"
"250","InChIKey=OIRDTQYFTABQOQ-UHFFFAOYSA-N","Nucleosides, nucleotides, and analogues"
"251","InChIKey=YKBGVTZYEHREMT-KVQBGUIXSA-N","Nucleosides, nucleotides, and analogues"
"252","InChIKey=BKAYIFDRRZZKNF-SECBINFHSA-N","Organic acids and derivatives"
"253","InChIKey=NXJAXUYOQLTISD-SECBINFHSA-N","Lipids and lipid-like molecules"
"254","InChIKey=JBFYFLXEJFQWMU-WDSKDSINSA-N","Organic acids and derivatives"
"255","InChIKey=ZDGJAHTZVHVLOT-YUMQZZPRSA-N","Organic acids and derivatives"
"256","InChIKey=OWQDWQKWSLFFFR-WDSKDSINSA-N","Organic acids and derivatives"
"257","InChIKey=VQAYFKKCNSOZKM-IOSLPCCCSA-N","Nucleosides, nucleotides, and analogues"
"258","InChIKey=GFYLSDSUCHVORB-IOSLPCCCSA-N","Nucleosides, nucleotides, and analogues"
"259","InChIKey=OTKJDMGTUTTYMP-ZWKOTPCHSA-N","Organic nitrogen compounds"
"260","InChIKey=LYRFLYHAGKPMFH-UHFFFAOYSA-N","Organic acids and derivatives"
"261","InChIKey=BRGMHAYQAZFZDJ-RTRLPJTCSA-N","Organic oxygen compounds"
"262","InChIKey=UBORTCNDUKBEOP-UUOKFMHZSA-N","Nucleosides, nucleotides, and analogues"
"263","InChIKey=HFCPFJNSBPQJDP-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"264","InChIKey=KDZOASGQNOPSCU-WDSKDSINSA-N","Organic acids and derivatives"
"265","InChIKey=WWUZIQQURGPMPG-KRWOKUGFSA-N","Organic nitrogen compounds"
"266","InChIKey=YVCSXKPTXFIUHA-VOTSOKGWSA-N","Lipids and lipid-like molecules"
"267","InChIKey=RSPURTUNRHNVGF-IOSLPCCCSA-N","Nucleosides, nucleotides, and analogues"
"268","InChIKey=RKMOXGPALUUUBM-BQYQJAHWSA-N","Lipids and lipid-like molecules"
"269","InChIKey=BOWVQLFMWHZBEF-KTKRTIGZSA-N","Organic nitrogen compounds"
"270","InChIKey=OTGQIQQTPXJQRG-UHFFFAOYSA-N","Organic nitrogen compounds"
"271","InChIKey=AJOOJSIUFKLAHC-CMDGGOBGSA-N","Lipids and lipid-like molecules"
"272","InChIKey=KMYWVDDIPVNLME-UHFFFAOYSA-N","Nucleosides, nucleotides, and analogues"
"273","InChIKey=KHWCHTKSEGGWEX-RRKCRQDMSA-N","Nucleosides, nucleotides, and analogues"
