"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Mob3b",6.55168815768598e-60,1.72660930012715,0.287,0.055,2.28437710994037e-55,"7","Mob3b"
"Ctnna2",1.52495417908688e-57,1.24606135471837,0.955,0.939,5.31705773622222e-53,"7","Ctnna2"
"Rn18s-rs51",1.03698852922327e-51,0.653455793644887,1,1,3.61566790484279e-47,"7","Rn18s-rs5"
"Ccnd21",2.3367561903419e-51,2.43783107544083,0.507,0.214,8.14756780886509e-47,"7","Ccnd2"
"Zfp704",8.77885547402681e-50,2.21098097626458,0.638,0.398,3.06092353812893e-45,"7","Zfp704"
"Maml33",8.8342690944939e-49,1.84033243880393,0.631,0.343,3.08024460517719e-44,"7","Maml3"
"C797981",6.40066038787563e-48,1.41121530843505,0.28,0.061,2.2317182574406e-43,"7","C79798"
"Zmiz1",3.766467900633e-47,1.72342234123494,0.429,0.155,1.31325436291371e-42,"7","Zmiz1"
"Ccdc88a1",1.21460340548495e-41,1.51877887151551,0.772,0.717,4.23495769390436e-37,"7","Ccdc88a"
"Stmn1",5.4373174674932e-40,1.45935634513842,0.72,0.603,1.89582948139085e-35,"7","Stmn1"
"Myt1",4.49955397036574e-39,1.34148918074542,0.265,0.068,1.56885948284742e-34,"7","Myt1"
"Nav32",6.57806583439538e-39,1.2321493408343,0.888,0.883,2.29357421447864e-34,"7","Nav3"
"Zeb11",7.82970193146425e-39,1.77543049329192,0.653,0.457,2.72998217244364e-34,"7","Zeb1"
"Ncam1",8.68955116066287e-39,1.2758823854223,0.813,0.811,3.02978580318832e-34,"7","Ncam1"
"Cemip2",3.98430451747124e-38,1.40687830119555,0.272,0.073,1.3892074561067e-33,"7","Cemip2"
"Gm37641",3.2848509380258e-36,1.62069101827503,0.616,0.429,1.14532897656146e-31,"7","Gm3764"
