"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"99","Rtn1",3.86780012363401e-08,-0.252157519585732,0.558,0.635,0.00134858586910747,-0.252157519585732,0.149681065109567,0.0675793588754967,0.585,0.558,1,0.0675793588754967,"non-sig","#00AFBB"
"100","Sat1",2.56804079180323e-09,-0.370526888065562,0.523,0.592,8.95398782878033e-05,-0.370526888065562,0.116425392177433,0.0548230425731018,0.545,0.523,1,0.0548230425731018,"non-sig","#00AFBB"
"101","Sgcd",7.75540061301566e-10,0.802219969708332,0.202,0.115,2.70407553174017e-05,0.802219969708332,1.13067197861857e-06,-0.403563047132135,0.137,0.202,0.0394231398784938,-0.403563047132135,"sig","#E7B800"
"102","Slc24a3",2.42442108553089e-07,0.207097916134442,0.327,0.223,0.00845322899892056,0.207097916134442,0.00896417891174577,-0.100202435501954,0.28,0.327,1,-0.100202435501954,"non-sig","#00AFBB"
"103","Slco1c1",2.30333230149845e-08,-0.308347889191838,0.572,0.655,0.000803102873563464,-0.308347889191838,1.71078703383975e-08,0.277939969606303,0.656,0.572,0.000596500115088906,0.277939969606303,"sig","#E7B800"
"104","Spacdr",7.67058710153226e-07,0.272795925805565,0.421,0.312,0.0267450360469125,0.272795925805565,0.00181505565798065,-0.190990383446474,0.366,0.421,1,-0.190990383446474,"non-sig","#00AFBB"
"105","St6galnac5",6.09767959140432e-07,-0.295094451840244,0.462,0.541,0.0212607794313494,-0.295094451840244,0.0427476094047936,0.106677689172834,0.495,0.462,1,0.106677689172834,"non-sig","#00AFBB"
"106","Stard4",3.22758374787534e-07,-0.261838793096467,0.022,0.059,0.011253616253717,-0.261838793096467,0.323297199040307,0.0730382034796145,0.027,0.022,1,0.0730382034796145,"non-sig","#00AFBB"
"107","Tef",2.68048194033681e-11,0.371403064168617,0.408,0.276,9.34603638137235e-07,0.371403064168617,0.000406436435131833,-0.172470124809024,0.35,0.408,1,-0.172470124809024,"non-sig","#00AFBB"
"108","Tra2a",9.41109175027055e-10,0.342161964612187,0.487,0.358,3.28136536056683e-05,0.342161964612187,3.32733201502612e-09,-0.337937517258734,0.391,0.487,0.000116014085367916,-0.337937517258734,"sig","#E7B800"
"109","Tsc22d3",2.46868667534754e-10,0.349882511636676,0.14,0.063,8.60756983093425e-06,0.349882511636676,4.69697150246012e-07,-0.247582814581266,0.082,0.14,0.0163769305376277,-0.247582814581266,"sig","#E7B800"
"110","Zbtb16",1.00636360177049e-07,0.278578726614677,0.111,0.052,0.00350888797029316,0.278578726614677,0.0115583573518365,-0.100158469867705,0.083,0.111,1,-0.100158469867705,"non-sig","#00AFBB"
"111","Zbtb20",2.16359596643744e-13,0.190671216118913,0.985,0.98,7.54381005617742e-09,0.190671216118913,0.733211890834616,0.00108316788735952,0.984,0.985,1,0.00108316788735952,"non-sig","#00AFBB"
"112","Zcchc7",2.79896834410159e-07,0.253059049337711,0.574,0.462,0.00975916292537903,0.253059049337711,0.0170057937423366,-0.0899252563146073,0.531,0.574,1,-0.0899252563146073,"non-sig","#00AFBB"
"113","Zfhx3",5.42816475575434e-09,0.60481147245718,0.171,0.093,0.000189263820538886,0.60481147245718,1.09394935458573e-07,-0.472074628632512,0.105,0.171,0.00381427321463407,-0.472074628632512,"sig","#E7B800"
"114","Zfhx4",8.17158536618973e-07,0.406727122892645,0.143,0.081,0.0284918666962937,0.406727122892645,1.53733089911527e-05,-0.346360832741669,0.092,0.143,0.536021164594521,-0.346360832741669,"non-sig","#00AFBB"
