,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Targets of Pbx3,,,
Wwox,2.13E-17,-0.299885123,0.563,0.713,7.44E-13,,Ep400,Ep400,0.005319502,1
Inpp4b,2.36E-17,0.770149633,0.41,0.284,8.24E-13,,Stat5a,Stat5a,0.0341572,1
Cntnap2,2.95E-17,-0.224114647,0.922,0.973,1.03E-12,,Irf4,Irf4,0.002420862,1
Kcns3,4.99E-17,-0.399123018,0.22,0.333,1.74E-12,,Znf24,#N/A,,
Egfem1,5.65E-17,-0.39438771,0.376,0.522,1.97E-12,,Rest,Rest,0.037981264,1
Tenm1,6.13E-17,-0.286861183,0.609,0.766,2.14E-12,,Smarca5,Smarca5,-0.033474187,1
Cpne6,6.52E-17,0.705868837,0.253,0.148,2.27E-12,,Dppa4,#N/A,,
Tenm4,7.84E-17,0.48519643,0.718,0.66,2.73E-12,,Stat6,Stat6,0.003690242,1
Clstn3,9.66E-17,-0.306122629,0.431,0.547,3.37E-12,,Tox,Tox,-0.279139913,1
Flrt2,9.69E-17,-0.353741518,0.376,0.505,3.38E-12,,Tet2,Tet2,-0.147594953,0.617521683
Adam23,1.06E-16,-0.301210732,0.415,0.543,3.69E-12,,Batf,Batf,0.005265468,1
Snap25,1.35E-16,0.342740138,0.931,0.934,4.70E-12,,Esr2,Esr2,-0.001884194,1
Zbtb16,2.14E-16,-0.347457336,0.323,0.452,7.45E-12,,Foxo3,Foxo3,-0.059243502,1
Aff2,2.43E-16,-0.36275423,0.41,0.536,8.48E-12,,Trim33,Trim33,0.038004911,1
Ncald,2.64E-16,-0.31259595,0.455,0.583,9.20E-12,,Isl1,Isl1,0,1
Hap1,2.68E-16,0.400376308,0.164,0.075,9.36E-12,,Egr2,Egr2,-0.006295094,1
Baiap2,2.79E-16,0.438575661,0.166,0.077,9.73E-12,,Kdm1a,Kdm1a,0.031939731,1
Apc,3.15E-16,0.624158066,0.859,0.838,1.10E-11,,Pcgf1,Pcgf1,0.038616355,1
Sgk1,3.84E-16,-0.326377355,0.331,0.449,1.34E-11,,Dppa2,#N/A,,
Shc3,4.15E-16,-0.319058694,0.261,0.374,1.45E-11,,Pparg,Pparg,0.374924665,1
Map2,4.18E-16,0.379542087,0.842,0.811,1.46E-11,,Smarca4,Smarca4,-0.020903717,1
Osbpl6,4.96E-16,-0.280959347,0.469,0.592,1.73E-11,,Ppara,Ppara,0.000118836,1
Rgs7bp,5.56E-16,-0.294263838,0.612,0.734,1.94E-11,,Foxl2,Foxl2,0,1
Kif1b,5.74E-16,-0.267535371,0.644,0.784,2.00E-11,,Pbx1,Pbx1,1.254842616,9.19533E-44
Rian,6.52E-16,-0.24233279,0.756,0.886,2.27E-11,,Cebpb,Cebpb,-0.039075072,1
Rmst,8.82E-16,0.490663028,0.089,0.025,3.08E-11,,Smc1a,Smc1a,0.085825907,1
Peli2,9.91E-16,0.418392021,0.188,0.095,3.46E-11,,Epop,Epop,0.011982191,1
Erbb4,1.14E-15,-0.286429639,0.85,0.906,3.98E-11,,Runx3,Runx3,-0.001403839,1
Sel1l3,1.35E-15,-0.309684881,0.257,0.37,4.71E-11,,Ptf1a,#N/A,,
Samd5,1.41E-15,-0.349545609,0.298,0.416,4.93E-11,,Phf19,Phf19,-0.004083073,1
Atrnl1,1.42E-15,-0.307478308,0.609,0.729,4.95E-11,,Zic2,Zic2,0.001590437,1
Cacna2d3,1.88E-15,-0.381740688,0.409,0.541,6.54E-11,,Tbr1,Tbr1,-0.003375252,1
Hecw2,2.11E-15,-0.26622188,0.62,0.745,7.35E-11,,Baz1b,Baz1b,0.088179556,1
Epha5,2.20E-15,0.72282167,0.769,0.758,7.67E-11,,Phf5a,Phf5a,0.047744228,1
Rock2,2.23E-15,-0.286972859,0.523,0.649,7.77E-11,,Olig2,Olig2,0.018052563,1
Pvt1,2.25E-15,-0.33688924,0.382,0.499,7.86E-11,,Neurod2,Neurod2,0.004368997,1
Zeb2,2.27E-15,0.385313028,0.878,0.877,7.92E-11,,Mxi1,Mxi1,0.083387628,1
Myo16,2.38E-15,0.844944861,0.579,0.515,8.30E-11,,Chaf1b,Chaf1b,0.000942281,1
Dock2,2.39E-15,0.320983388,0.079,0.019,8.34E-11,,Myog,Myog,0,1
Nmnat2,2.82E-15,-0.289622524,0.454,0.577,9.82E-11,,Srf,Srf,-0.012706846,1
Afap1,3.35E-15,-0.298236684,0.27,0.385,1.17E-10,,Nelfe,Nelfe,0.016429899,1
Cacng5,3.37E-15,0.328938862,0.114,0.041,1.18E-10,,Hoxd13,#N/A,,
Kank3,3.53E-15,0.381386827,0.104,0.035,1.23E-10,,Snai1,Snai1,0.000945935,1
Gng4,3.93E-15,0.49155959,0.175,0.089,1.37E-10,,Cdx2,#N/A,,
Mapk4,4.14E-15,0.486152596,0.238,0.138,1.44E-10,,Ar,Ar,-0.136409889,1
Rph3a,4.75E-15,-0.348354455,0.261,0.372,1.65E-10,,Asxl1,Asxl1,0.037018538,1
Ptk2b,4.78E-15,0.393914579,0.164,0.079,1.67E-10,,Rfx3,Rfx3,0.179838269,1
Pknox2,4.95E-15,-0.309315355,0.411,0.529,1.73E-10,,Brd4,Brd4,0.008470255,1
Ube2e3,5.53E-15,0.422864801,0.259,0.158,1.93E-10,,Ogt,Ogt,0.032165855,1
Grm8,6.61E-15,0.702112067,0.329,0.225,2.30E-10,,Sp7,Sp7,0.05409374,1
Unc5d,6.66E-15,-0.39829385,0.39,0.514,2.32E-10,,Capg,Capg,0.005780404,1
Pitpnc1,7.49E-15,-0.357970239,0.366,0.485,2.61E-10,,Nfib,Nfib,0.051956271,1
Tmem132d,7.69E-15,-0.390535907,0.296,0.408,2.68E-10,,Nfia,Nfia,0.182189435,1
Atxn1,8.32E-15,-0.268797298,0.734,0.839,2.90E-10,,Utf1,Utf1,0,1
Insyn2b,9.18E-15,0.282914256,0.08,0.021,3.20E-10,,Max,Max,-0.037984302,1
Cntn6,9.43E-15,-0.325765652,0.453,0.58,3.29E-10,,Nsd3,Nsd3,0.01427397,1
Ablim2,9.66E-15,-0.3180495,0.309,0.417,3.37E-10,,Thap1,Thap1,-0.026892451,1
Atp8a2,9.71E-15,-0.266461472,0.511,0.634,3.38E-10,,Erg,Erg,-0.008819774,1
Celf4,1.06E-14,0.414347396,0.828,0.785,3.68E-10,,Myc,Myc,0.003095669,1
