,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Targets of Pbx3,,,
Ccnl1,1.77E-05,0.214831796,0.236,0.163,0.616845496,,Isl1,Isl1,0.003360594,1
Hsp90aa1,1.86E-05,-0.257825067,0.37,0.427,0.648507435,,Egr2,Egr2,-0.003259894,1
Arl15,1.92E-05,0.303249424,0.249,0.176,0.667982742,,Kdm1a,Kdm1a,0.011316356,1
Gm46124,2.03E-05,0.191413319,0.061,0.026,0.706881928,,Pcgf1,Pcgf1,-0.027539413,1
9630028H03Rik,2.12E-05,0.273715396,0.27,0.196,0.738729901,,Dppa2,#N/A,,
Gm38255,2.14E-05,0.12681248,0.063,0.027,0.744595868,,Pparg,Pparg,0.031129544,1
Trip11,2.24E-05,0.2303985,0.284,0.206,0.781904053,,Smarca4,Smarca4,-0.051229785,1
Basp1,2.29E-05,-0.284655435,0.282,0.347,0.79795571,,Ppara,Ppara,0.087094289,1
Stmn2,2.31E-05,-0.311944169,0.224,0.287,0.803744777,,Foxl2,Foxl2,0,1
Lss,2.33E-05,-0.235942459,0.044,0.083,0.811963425,,Pbx1,Pbx1,-0.152617539,0.267036382
Ptprj,2.48E-05,0.321313607,0.184,0.122,0.864223722,,Cebpb,Cebpb,0.041081681,1
4930431P19Rik,2.59E-05,0.175210273,0.063,0.028,0.902366708,,Smc1a,Smc1a,-0.068404034,1
Stx18,2.63E-05,0.199579192,0.14,0.085,0.915765079,,Epop,Epop,-0.043161479,1
4930488L21Rik,2.75E-05,-0.197254459,0.505,0.576,0.960127389,,Runx3,Runx3,0,1
Cpe,3.01E-05,-0.178706678,0.818,0.84,1,,Ptf1a,#N/A,,
Sh3d19,3.03E-05,0.272530547,0.145,0.09,1,,Phf19,Phf19,-0.0114267,1
Dio2,3.13E-05,-0.300620127,0.306,0.368,1,,Zic2,Zic2,0.092418906,1
Cables1,3.19E-05,0.213558787,0.266,0.194,1,,Tbr1,Tbr1,-0.028509215,1
Fut9,3.21E-05,-0.247420118,0.509,0.565,1,,Baz1b,Baz1b,0.002116235,1
Arhgap28,3.31E-05,0.198284803,0.058,0.024,1,,Phf5a,Phf5a,0.010243294,1
Fus,3.33E-05,0.208989121,0.351,0.261,1,,Olig2,Olig2,-0.000944089,1
Fzd2,3.37E-05,0.167505758,0.124,0.072,1,,Neurod2,Neurod2,-0.003387769,1
Sft2d3,3.37E-05,0.151318998,0.089,0.046,1,,Mxi1,Mxi1,0.125229388,1
Gm15738,3.43E-05,0.251781585,0.125,0.076,1,,Chaf1b,Chaf1b,0.003266988,1
Camk1d,3.57E-05,-0.219402633,0.622,0.664,1,,Myog,Myog,0,1
Slc13a4,3.66E-05,0.396678169,0.078,0.04,1,,Srf,Srf,-0.020494414,1
Rapgef6,3.68E-05,0.202417082,0.218,0.15,1,,Nelfe,Nelfe,-0.015982913,1
Col11a1,3.94E-05,0.308650619,0.051,0.021,1,,Hoxd13,#N/A,,
Gm1698,4.24E-05,0.092288871,0.017,0.001,1,,Snai1,Snai1,-0.015956518,1
Acss2os,4.31E-05,-0.249775269,0.03,0.062,1,,Cdx2,#N/A,,
Fdft1,4.64E-05,-0.349176064,0.155,0.205,1,,Ar,Ar,-0.021867783,1
Sar1b,4.72E-05,0.253188233,0.155,0.1,1,,Asxl1,Asxl1,0.057553979,1
Abcd4,4.97E-05,0.192548178,0.092,0.05,1,,Rfx3,Rfx3,-0.040295185,1
Cnksr2,5.05E-05,-0.242557913,0.109,0.159,1,,Brd4,Brd4,0.006274054,1
F830045P16Rik,5.18E-05,-0.110085068,0.006,0.025,1,,Ogt,Ogt,-0.042127555,1
Chd2,5.25E-05,0.23702173,0.319,0.242,1,,Sp7,Sp7,-0.014389173,1
Cdc37l1,5.26E-05,0.202100181,0.376,0.29,1,,Capg,Capg,-0.002650711,1
Sc5d,5.48E-05,-0.239843938,0.078,0.123,1,,Nfib,Nfib,0.023016763,1
Gm13110,5.54E-05,0.188961583,0.136,0.083,1,,Nfia,Nfia,0.096263885,1
Pard3b,5.59E-05,0.210852196,0.548,0.457,1,,Utf1,Utf1,0,1
Nrxn1,5.93E-05,-0.130749749,0.881,0.95,1,,Max,Max,-0.079782169,1
Slc13a3,6.24E-05,0.172080109,0.116,0.07,1,,Nsd3,Nsd3,-0.013152495,1
Mfsd2a,6.28E-05,0.163777931,0.061,0.028,1,,Thap1,Thap1,0.035232816,1
Gabbr2,6.75E-05,-0.265178167,0.345,0.398,1,,Erg,Erg,-0.00724756,1
E230001N04Rik,6.82E-05,0.14758087,0.025,0.005,1,,Myc,Myc,-0.003287804,1
Gpsm2,7.10E-05,0.142225578,0.065,0.03,1,,Ikzf1,Ikzf1,-0.02455393,1
Ctsl,7.39E-05,0.219802236,0.178,0.12,1,,Phf6,Phf6,-0.125005436,1
Sorbs1,7.63E-05,0.222869491,0.457,0.36,1,,Tcf7l1,Tcf7l1,-0.13051609,1
Diaph2,7.68E-05,0.302597291,0.501,0.423,1,,Cbx3,Cbx3,-0.025457767,1
ENSMUSG00000120012,7.71E-05,0.182143227,0.141,0.09,1,,Ccny,Ccny,0.033128847,1
Zfp788,7.76E-05,0.157801513,0.067,0.032,1,,Kdm4a,Kdm4a,-0.03010722,1
Txndc16,7.85E-05,0.17795864,0.182,0.122,1,,Smc5,Smc5,-0.007004386,1
Elovl6,7.89E-05,-0.363367844,0.145,0.194,1,,Hnrnpu,Hnrnpu,-0.088968079,1
Mfge8,7.96E-05,0.200556061,0.268,0.196,1,,Osr1,Osr1,0.051975326,1
Gm15563,8.25E-05,0.235245003,0.106,0.062,1,,Arid3a,Arid3a,-0.023671692,1
Acss3,8.56E-05,0.293017568,0.091,0.051,1,,Btaf1,Btaf1,-0.074881874,1
Pard3bos1,8.60E-05,0.243702301,0.233,0.169,1,,Kat8,Kat8,-0.034358569,1
Crim1,8.98E-05,0.231121782,0.188,0.128,1,,Hdac1,Hdac1,-0.010283705,1
Wdr17,9.00E-05,-0.143342919,0.835,0.904,1,,Ebf2,Ebf2,0.105053856,1
Odad1,9.01E-05,0.172072799,0.088,0.048,1,,Sox3,Sox3,-0.008300676,1
Crybg1,9.19E-05,0.137748646,0.015,0.001,1,,Zic3,Zic3,0.008243396,1
Mical2,9.62E-05,0.202628172,0.48,0.393,1,,Mta2,Mta2,-0.009049643,1
Cyp4f15,9.78E-05,0.208340842,0.236,0.17,1,,Neurog2,Neurog2,0,1
Gm15261,9.80E-05,0.334452426,0.067,0.033,1,,Prdm13,#N/A,,
Csgalnact1,0.000101659,-0.235466312,0.465,0.518,1,,Smarcc1,Smarcc1,-0.04831299,1
Plekhh2,0.000103903,0.286919285,0.077,0.041,1,,Tcf7,Tcf7,-0.067405189,1
Mapt,0.000103961,-0.291398395,0.383,0.428,1,,Sirt6,Sirt6,0.06623264,1
Pcgf5,0.000104726,0.22409612,0.193,0.133,1,,Nfkb1,Nfkb1,0.105530391,1
1700019D03Rik,0.000105685,0.185848752,0.085,0.046,1,,Rag1,Rag1,0,1
Etfdh,0.000108179,0.178589381,0.089,0.049,1,,Dpy30,Dpy30,-0.103724449,1
Sox1,0.000110478,0.134727709,0.058,0.027,1,,Runx2,Runx2,-0.031559815,1
Ldlr,0.000111223,-0.321133743,0.13,0.179,1,,Tbx3,Tbx3,0.014076871,1
Sdk1,0.000111294,0.53455278,0.109,0.067,1,,Kdm5c,Kdm5c,-0.07964635,1
Slc1a5,0.000111913,0.213026734,0.046,0.018,1,,Smad4,Smad4,0.022847361,1
9530026P05Rik,0.000112899,0.485084951,0.198,0.144,1,,Dmc1,Dmc1,0.030263017,1
