,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,hit in circadian DEG
Ap2a2,0.000221548,0.868568447,0.228,0.017,1,,
Trpc4,0.000223645,1.048854279,0.222,0.017,1,,
Slc25a3,0.000223842,0.516595395,0.416,0.138,1,,
Zfp398,0.00022665,0.839369964,0.257,0.034,1,,
Adcy2,0.000233694,0.726687424,0.421,0.138,1,,
Med12l,0.000237967,0.839559579,0.227,0.017,1,,
Zmat4,0.000240288,0.437787791,0.633,0.276,1,,
Phactr2,0.000247272,0.969663094,0.193,0,1,,
Stmn1,0.000248774,-0.997992117,0.409,0.534,1,,
Airn,0.000249605,0.963029013,0.28,0.052,1,,
Add2,0.000255434,0.701199464,0.318,0.069,1,,
Meis1,0.000259087,0.869341511,0.33,0.086,1,,
Pacsin1,0.000259161,0.487972451,0.428,0.138,1,,
Runx2,0.000262146,0.92836394,0.309,0.069,1,,
Csmd3,0.000269861,0.563083489,0.766,0.466,1,,
Chd7,0.000270606,-1.110513967,0.156,0.31,1,,
Gm12353,0.000286121,0.983283685,0.38,0.121,1,,
Kcnmb2,0.000286732,-1.178761539,0.146,0.31,1,,
Arhgef9,0.000291223,0.585663415,0.394,0.121,1,,
Rasa3,0.000293411,0.833559012,0.221,0.017,1,,
Pnisr,0.000293455,0.446017822,0.66,0.31,1,,
Rnf130,0.000298792,0.764334408,0.338,0.086,1,,
Slc6a6,0.000298858,0.698671738,0.285,0.052,1,,
Ica1,0.000303291,0.831108143,0.271,0.052,1,,
Ftx,0.000303408,0.612850546,0.461,0.172,1,,
Snap25,0.000312091,0.446310974,0.896,0.707,1,,
Snhg11,0.000318743,0.247711412,0.92,0.672,1,,
4732471J01Rik,0.000323529,0.685983513,0.254,0.034,1,,
Tcf4,0.000327453,-0.695835791,0.86,0.845,1,,
Scn3a,0.000329892,0.741490389,0.382,0.121,1,,
Rbfox2,0.000344796,0.579421242,0.629,0.293,1,,
Gm16351,0.000348777,-1.094609165,0.157,0.31,1,,
Ppp3cc,0.00035962,0.807999562,0.346,0.103,1,,
ENSMUSG00000120285,0.000359902,1.234857473,0.184,0,1,,
Clip4,0.000359903,0.920198734,0.184,0,1,,
Dmxl1,0.000366731,0.588149407,0.41,0.138,1,,
R3hdm1,0.0003746,0.567255041,0.674,0.362,1,,
Mef2d,0.000379579,0.818691461,0.183,0,1,,
Gm1976,0.000379579,0.831128519,0.183,0,1,,
Anks1b,0.000381371,0.351975665,0.905,0.672,1,,
Gas2l3,0.000382909,-0.375860549,0.006,0.052,1,,
Stxbp5l,0.000387042,0.337730322,0.638,0.293,1,,
Ppp1r1b,0.000387673,-0.421626534,0.006,0.052,1,,
Arhgap20,0.000391597,0.715806937,0.279,0.052,1,,
Gm32509,0.000396369,0.849511559,0.326,0.086,1,,
9430053O09Rik,0.000397368,-0.447488381,0.006,0.052,1,,
Ttc39c,0.000397984,0.711244425,0.248,0.034,1,,
Syt10,0.000404609,1.002791509,0.213,0.017,1,,
Ghdc,0.000407289,-0.32010907,0.006,0.052,1,,
Basp1,0.000413811,-0.892498833,0.537,0.621,1,,
Nt5c2,0.000418101,0.651309382,0.345,0.103,1,,
Phb2,0.000430799,-1.092465157,0.05,0.155,1,,
Fth1,0.000433605,-0.693506669,0.538,0.621,1,,
Cdh10,0.000443024,0.911799848,0.404,0.155,1,,
Asb3,0.00044341,0.448496735,0.339,0.086,1,,
Ipcef1,0.000450512,0.767652848,0.237,0.034,1,,
Ccdc183,0.000453258,-0.387117839,0.002,0.034,1,,
Zfp773,0.000453258,-0.441037582,0.002,0.034,1,,
Irgm1,0.000453258,-0.33843093,0.002,0.034,1,,
Tcf19,0.000453258,-0.198291769,0.002,0.034,1,,
Pcdhga8,0.000453258,-0.414410839,0.002,0.034,1,,
Pou3f2,0.000454137,-0.667332784,0.032,0.121,1,,
Tshz1,0.000458631,0.674671316,0.474,0.19,1,,
Dennd2c,0.000461145,-0.311035229,0.002,0.034,1,,
Gm43658,0.000461145,-0.23763747,0.002,0.034,1,,
Gramd2,0.000461145,-0.263841113,0.002,0.034,1,,
Spag5,0.000461145,-0.317720325,0.002,0.034,1,,
Myo1b,0.000462533,-0.716041555,0.032,0.121,1,,
Rps6ka5,0.000466337,0.786614565,0.24,0.034,1,,
Garem1,0.000467469,0.800991318,0.322,0.086,1,,
Gm48482,0.00046916,-0.32281177,0.002,0.034,1,,
Gria2,0.000472779,0.419136418,0.95,0.793,1,,
Cd2ap,0.000474323,0.655738461,0.321,0.086,1,,
Zfp207,0.000477804,0.585953333,0.354,0.103,1,,
Tomm5,0.000483422,-0.84044055,0.05,0.155,1,,
Pid1,0.000484727,0.737256224,0.394,0.138,1,,
Stk39,0.00049902,0.540876529,0.405,0.138,1,,
Grin2a,0.000504014,0.529066044,0.537,0.259,1,,
Rab40b,0.000506224,0.743176271,0.241,0.034,1,,
Chl1,0.00052039,-1.252998909,0.073,0.19,1,,
Srrm4,0.000521241,0.608539196,0.422,0.155,1,,
Hs3st2,0.000525017,0.983637685,0.23,0.034,1,,
9330162G02Rik,0.000525655,0.365169383,0.59,0.259,1,,
Aig1,0.000528224,0.348768904,0.515,0.207,1,,
Acap3,0.000542183,-0.677975427,0.041,0.138,1,,
2210408F21Rik,0.000549493,0.8675027,0.174,0,1,,
Lncpint,0.000560895,0.43171594,0.46,0.172,1,,
Gm45904,0.000579095,0.954188799,0.173,0,1,,
Mdga2,0.000586648,0.694906489,0.835,0.569,1,,
Dok6,0.000596295,0.447769479,0.477,0.19,1,,
A930017M01Rik,0.000600335,0.84051196,0.232,0.034,1,,
Snx7,0.000605422,0.760001722,0.238,0.034,1,,
Gars,0.000617431,-1.033220515,0.096,0.224,1,,
Gpr137c,0.000635468,0.882586074,0.301,0.086,1,,
Gtdc1,0.000637909,0.659599161,0.439,0.172,1,,
Oprm1,0.000641601,0.799428522,0.34,0.103,1,,
Klhl29,0.000649547,0.740043628,0.318,0.086,1,,
Lrrc4,0.000690633,0.8450219,0.246,0.052,1,,
Clk4,0.000691873,0.718350537,0.334,0.103,1,,
Gprc5b,0.0007107,0.726069301,0.263,0.052,1,,
Cacng3,0.000713676,0.846822526,0.168,0,1,,
Map3k1,0.000727816,0.82254034,0.27,0.069,1,,
BC055324,0.000753525,-0.442648572,0.012,0.069,1,,
Atpaf1,0.000761133,0.720066932,0.199,0.017,1,,
Kank3,0.000774364,0.831740049,0.196,0.017,1,,
Rab3b,0.000774412,-0.862111167,0.043,0.138,1,,
Plcxd3,0.000785483,1.141883543,0.246,0.052,1,,
Amph,0.000795053,0.502140628,0.449,0.172,1,,
Slf2,0.000797807,0.350898164,0.294,0.069,1,,
Ptprk,0.000799338,1.090637204,0.321,0.103,1,,
Gmds,0.000813947,0.68013058,0.282,0.069,1,,
Dock7,0.000834397,-0.89318347,0.244,0.397,1,,
Ctdspl,0.00084567,0.388304915,0.199,0.017,1,,
Nhsl1,0.000872114,-0.86757002,0.043,0.138,1,,
Prrc2c,0.000874587,0.526790692,0.522,0.241,1,,
Sox5,0.000888397,-0.978033185,0.279,0.448,1,,
Csmd1,0.000924183,0.952285276,0.696,0.483,1,,
Fbn2,0.000924817,0.82734945,0.162,0,1,,
Hdac9,0.000926107,0.584160362,0.772,0.534,1,,
Mrtfa,0.000929546,0.74176743,0.274,0.069,1,,
Mgat4c,0.0009362,1.529654257,0.41,0.19,1,,
Diaph2,0.00096749,0.734587318,0.254,0.052,1,,
Rgl1,0.00097537,0.553807283,0.284,0.069,1,,
Slmap,0.00097742,0.690925304,0.226,0.034,1,,
Gm44151,0.000992298,0.776887112,0.218,0.034,1,,
Zfp536,0.00100033,-0.766591584,0.139,0.293,1,,
Nfix,0.001030687,-0.943849716,0.151,0.293,1,,
Adamts3,0.001052745,0.659817654,0.224,0.034,1,,
Ttc8,0.001055925,0.57477333,0.285,0.069,1,,
Mbnl2,0.001059946,0.376688438,0.449,0.172,1,,
Tax1bp1,0.001060331,0.368780322,0.316,0.086,1,,
Senp7,0.001060541,0.635598948,0.351,0.121,1,,
9630028H03Rik,0.001064428,0.647869888,0.421,0.172,1,,
Dnaja2,0.001072531,0.705634194,0.298,0.086,1,,
Gm27032,0.001093785,0.462914813,0.289,0.069,1,,
Mon2,0.001098006,0.674041762,0.217,0.034,1,,
Rasgrf1,0.001101916,0.438546561,0.539,0.241,1,,
Susd4,0.001120327,0.604576746,0.268,0.069,1,,
Prkcq,0.001139318,-0.441631076,0.007,0.052,1,,
Knop1,0.001139993,0.636881255,0.191,0.017,1,,
Rbm39,0.001142587,0.536104506,0.806,0.5,1,,
Tasp1,0.001148825,0.483767458,0.224,0.034,1,,
Dgkb,0.001167306,0.772065441,0.733,0.534,1,,
Rasgrf2,0.001167332,0.56938689,0.299,0.086,1,,
Gm12610,0.001176821,-0.219015274,0.007,0.052,1,,
Trim62,0.001181576,-0.92808694,0.056,0.155,1,,
Cfl2,0.001181746,0.527427025,0.28,0.069,1,,
Lrba,0.001187566,0.674507849,0.648,0.345,1,,
Trpm3,0.001188067,0.695559081,0.524,0.241,1,,
Gm40841,0.001188122,0.533362232,0.376,0.138,1,,
Clvs2,0.001195787,0.701846747,0.156,0,1,,
Nsd3,0.001242303,0.63039993,0.396,0.155,1,,
C79798,0.001244593,0.534609118,0.361,0.121,1,,
Gm15614,0.00125372,0.622847075,0.274,0.069,1,,
Gucy1b1,0.001265835,0.629632939,0.25,0.052,1,,
Fus,0.001292354,0.547547462,0.476,0.207,1,,
Lgr6,0.001323803,0.556446978,0.22,0.034,1,,
Gm37340,0.001324439,0.726886133,0.154,0,1,,
Csnk1g3,0.001348516,0.626082938,0.33,0.103,1,,
Pacrg,0.001359514,0.779025771,0.213,0.034,1,,
Cstpp1,0.001382813,0.438121983,0.365,0.121,1,,
Vipr2,0.001401141,0.754728881,0.211,0.034,1,,
Tuba1a,0.001409519,-0.880321947,0.462,0.552,1,,
Dennd5b,0.001437899,0.650581129,0.394,0.155,1,,
Adarb1,0.001453881,0.464009812,0.328,0.103,1,,
Fam219a,0.001461017,0.745560312,0.209,0.034,1,,
Pkd1,0.001469922,0.668450475,0.213,0.034,1,,
Pacsin2,0.001487534,0.602446633,0.239,0.052,1,,
Mir124a-1hg,0.001500462,0.464634664,0.501,0.224,1,,
Slc25a12,0.001533394,0.493238572,0.349,0.121,1,,
Mtus2,0.001547493,0.658393862,0.267,0.069,1,,
Nyap2,0.001580251,0.662894897,0.384,0.155,1,,
Thada,0.001592678,0.604715291,0.209,0.034,1,,
Gprasp1,0.00162267,0.536866612,0.371,0.138,1,,
Psme4,0.001626578,0.578487945,0.439,0.19,1,,
Nnat,0.001635047,-1.161268309,0.209,0.345,1,,
Fut9,0.001661617,0.510709813,0.348,0.121,1,,
Ythdf3,0.001704256,0.470448128,0.246,0.052,1,,
Hap1,0.001705252,0.550752114,0.239,0.052,1,,
H2az2,0.001712538,-0.782038367,0.078,0.19,1,,
Sipa1l1,0.001716624,0.500967258,0.68,0.379,1,,
Pdzd2,0.001740341,0.693334759,0.335,0.121,1,,
Cdc42se2,0.001766472,0.378357266,0.302,0.086,1,,
Tll1,0.00177122,0.681013836,0.18,0.017,1,,
Rapgef6,0.00177554,0.542315308,0.373,0.138,1,,
Baiap2,0.001775981,0.618482343,0.267,0.069,1,,
Dach1,0.001792403,-1.003489307,0.021,0.086,1,,
Fgf14,0.001793759,-0.01911393,0.902,0.638,1,,
Kcnj6,0.001794467,0.7177999,0.239,0.052,1,,
Actn2,0.001795955,0.723245106,0.146,0,1,,
Sntg2,0.001804281,0.635925902,0.211,0.034,1,,
Taf1,0.001806089,0.751037482,0.173,0.017,1,,
Cox5a,0.001831979,-0.862947226,0.279,0.414,1,,
Sntg1,0.001882238,0.5681196,0.71,0.431,1,,
Magi3,0.001883663,0.490730555,0.243,0.052,1,,
Slit3,0.001909688,0.861058708,0.229,0.052,1,,
Tafa2,0.001956672,-0.789940084,0.254,0.414,1,,
Arl4c,0.001962669,-0.72461802,0.029,0.103,1,,
Cnksr2,0.001989627,0.45557683,0.511,0.241,1,,
2900027M19Rik,0.002004421,0.506056384,0.257,0.069,1,,
Arid1a,0.00200612,-0.943833444,0.25,0.379,1,,
Cux1,0.002040513,0.550281921,0.365,0.138,1,,
Cap2,0.002051036,0.704724186,0.174,0.017,1,,
Septin11,0.002069949,0.332177166,0.285,0.086,1,,
Gm45323,0.002089056,0.831466786,0.143,0,1,,
Esrrg,0.002090282,0.719585407,0.35,0.138,1,,
Inpp4a,0.002165412,0.559981954,0.205,0.034,1,,
Pip4k2a,0.002170278,0.616495928,0.259,0.069,1,,
Uchl1,0.002171608,-1.350749617,0.205,0.328,1,,
Gm43175,0.002196677,0.689187854,0.141,0,1,,
Rgs6,0.002201562,1.176784742,0.199,0.034,1,,
Ssbp2,0.002209705,0.522176819,0.629,0.345,1,,
Ptk2b,0.002238362,0.532915541,0.263,0.069,1,,
Oxct1,0.002285479,0.288751939,0.462,0.207,1,,
Msi1,0.0023025,-0.563322047,0.029,0.103,1,,
Relch,0.002324734,0.521611515,0.293,0.086,1,,
Zranb2,0.002325403,0.352241046,0.578,0.276,1,,
Cdca7,0.002343323,-0.890194006,0.049,0.138,1,,
Ppargc1a,0.002399299,0.730996657,0.282,0.086,1,,
Rufy2,0.002419528,0.435383853,0.345,0.121,1,,
Cdh4,0.002446094,0.732107438,0.305,0.103,1,,
Depdc5,0.002486046,0.565147944,0.232,0.052,1,,
Cdkn1c,0.002499427,-0.396925234,0.004,0.034,1,,
Lyzl4,0.002499427,-0.356470734,0.004,0.034,1,,
ENSMUSG00000120261,0.002499427,-0.513198537,0.004,0.034,1,,
Gm9945,0.002499427,-0.320008186,0.004,0.034,1,,
Mmp14,0.002499427,-0.368730591,0.004,0.034,1,,
Lrp5,0.002499427,-0.289748238,0.004,0.034,1,,
Plp2,0.002499427,-0.3471664,0.004,0.034,1,,
Gm16050,0.002503962,-0.487849445,0.009,0.052,1,,
Hs6st3,0.002505655,1.032563231,0.402,0.19,1,,
Map2k1,0.00250816,0.383790548,0.299,0.086,1,,
Srgap2,0.002509301,-0.911868628,0.298,0.431,1,,
Mapk1,0.002519681,0.49180144,0.544,0.259,1,,
Gm15738,0.002521934,0.448712366,0.334,0.121,1,,
Ikbip,0.002523384,-0.653046831,0.039,0.121,1,,
Gm38359,0.002528187,-0.682937799,0.009,0.052,1,,
Pih1d1,0.002528187,-0.464303119,0.009,0.052,1,,
Rad51b,0.002528187,-0.701469632,0.009,0.052,1,,
Klhl33,0.002528187,-0.506527611,0.009,0.052,1,,
Tmem117,0.002531274,0.636271649,0.278,0.086,1,,
Aifm2,0.002533594,-0.278566336,0.004,0.034,1,,
Smim43,0.002552626,-0.449661165,0.009,0.052,1,,
Paqr6,0.002568188,-0.165085566,0.004,0.034,1,,
Gm26820,0.002568188,-0.248808654,0.004,0.034,1,,
Serinc2,0.002568188,-0.379906472,0.004,0.034,1,,
Gm42685,0.002568188,-0.246103169,0.004,0.034,1,,
Ddx11,0.002568188,-0.172389992,0.004,0.034,1,,
Kif20b,0.002568188,-0.179137882,0.004,0.034,1,,
Map7d2,0.002589684,0.646267632,0.249,0.069,1,,
C030034L19Rik,0.002602155,-0.301805337,0.009,0.052,1,,
Gm11362,0.002603214,-0.284926884,0.004,0.034,1,,
Knl1,0.002638675,-0.163674638,0.004,0.034,1,,
Gm47207,0.002638675,-0.149923444,0.004,0.034,1,,
Gm49539,0.002638675,-0.160866851,0.004,0.034,1,,
Pheta1,0.002675908,-0.542491232,0.015,0.069,1,,
Cacna1i,0.002683449,0.649482811,0.137,0,1,,
Btbd17,0.002729843,-0.243120979,0.009,0.052,1,,
Miat,0.002750052,-1.24204368,0.084,0.19,1,,
Ankhd1,0.002758143,0.582587876,0.313,0.103,1,,
Kcnh1,0.002764088,0.425108503,0.202,0.034,1,,
Taok1,0.002768166,0.30243642,0.309,0.103,1,,
Carmil1,0.002778962,0.592230412,0.327,0.121,1,,
B3galt1,0.002791839,0.510701922,0.66,0.379,1,,
Terf1,0.002794595,0.538497214,0.198,0.034,1,,
Gm26854,0.002796382,0.683407564,0.199,0.034,1,,
Psmd11,0.002797182,0.668702895,0.195,0.034,1,,
Gm43362,0.002820607,0.647764318,0.135,0,1,,
Otud7b,0.00282449,0.633497508,0.168,0.017,1,,
Rnf217,0.002832941,0.47636499,0.17,0.017,1,,
Gm45321,0.002835022,0.939032424,0.193,0.034,1,,
Spire1,0.002866823,0.465174104,0.338,0.121,1,,
St6gal1,0.002875529,-0.974042886,0.095,0.207,1,,
Mllt3,0.002895166,0.21500587,0.477,0.207,1,,
Slc4a7,0.002921177,0.621000073,0.199,0.034,1,,
Cntnap5c,0.002938081,1.052133022,0.195,0.034,1,,
Upf3b,0.002945674,0.646433662,0.195,0.034,1,,
Eid1,0.002951907,-0.988553099,0.224,0.345,1,,
Kcnk13,0.002964551,0.732419853,0.134,0,1,,
5330434G04Rik,0.00297038,0.325779215,0.482,0.207,1,,
Ldlrad4,0.002991471,0.258770242,0.418,0.172,1,,
Inpp4b,0.002994343,0.430061826,0.517,0.259,1,,
Psd3,0.003003979,0.602031647,0.422,0.19,1,,
Cacnb4,0.003007013,0.425057747,0.549,0.276,1,,
Map7,0.003078854,0.673471922,0.248,0.069,1,,
Numb,0.003097045,0.529145566,0.31,0.103,1,,
Ubc,0.003124306,-0.923336375,0.174,0.293,1,,
Sdccag8,0.003129774,0.608804693,0.223,0.052,1,,
Ift57,0.00315679,0.641419679,0.163,0.017,1,,
Pkia,0.003168755,0.64869008,0.294,0.103,1,,
Gm44560,0.003174885,0.680926932,0.245,0.069,1,,
Rerg,0.003184817,0.65768829,0.165,0.017,1,,
Hacd3,0.003207282,0.471327729,0.221,0.052,1,,
Gm15520,0.003233122,0.674190684,0.189,0.034,1,,
Pitpnm3,0.00324053,0.553694101,0.251,0.069,1,,
Iqsec2,0.003250643,0.450531552,0.301,0.103,1,,
Nbas,0.003295005,0.425625673,0.226,0.052,1,,
Ripor2,0.003326902,0.562176719,0.226,0.052,1,,
Gm49417,0.003349952,0.630926486,0.215,0.052,1,,
Klc1,0.003408652,0.351744603,0.371,0.138,1,,
Mok,0.003440459,0.608057611,0.13,0,1,,
Ube2e3,0.003453077,0.32747968,0.324,0.121,1,,
Rgs17,0.003472495,0.417947006,0.282,0.086,1,,
A930009A15Rik,0.003480778,0.779062224,0.188,0.034,1,,
Frmd7,0.003485692,0.398095843,0.278,0.086,1,,
Ptprd,0.003491945,-0.744686521,0.567,0.603,1,,
Kcnt1,0.00358228,0.5543199,0.163,0.017,1,,
Camkv,0.003589065,0.397383536,0.282,0.086,1,,
Sulf2,0.003600023,-0.833033206,0.041,0.121,1,,
Mirg,0.00361498,0.647280516,0.129,0,1,,
Psma5,0.003675883,-0.922493871,0.111,0.224,1,,
Ppp1r13b,0.003687499,0.557600101,0.29,0.103,1,,
Homer2,0.003709046,0.725926123,0.26,0.086,1,,
Cracdl,0.003772521,0.499343792,0.246,0.069,1,,
Pclo,0.003781122,0.423467613,0.389,0.155,1,,
B230216N24Rik,0.003798083,0.615330915,0.128,0,1,,
Gm19744,0.003798083,0.631742965,0.128,0,1,,
Elavl2,0.003801833,-0.790718547,0.096,0.207,1,,
Arglu1,0.003807815,0.251697507,0.482,0.224,1,,
Cbfa2t2,0.00381039,0.238327892,0.279,0.086,1,,
Rpl13a,0.003820653,-0.518859122,0.023,0.086,1,,
Gm26691,0.003850552,0.435576698,0.252,0.069,1,,
Sgsm1,0.003873664,0.599373137,0.187,0.034,1,,
Senp2,0.003874689,0.64078278,0.184,0.034,1,,
Nsmaf,0.003929176,0.519409901,0.245,0.069,1,,
Clstn2,0.003945561,0.664736227,0.452,0.224,1,,
Add3,0.003967267,0.596741955,0.215,0.052,1,,
Serinc5,0.004020579,0.626766246,0.211,0.052,1,,
Dmtf1,0.004026964,0.474879013,0.193,0.034,1,,
Timm44,0.004030204,0.569089606,0.16,0.017,1,,
Cpne6,0.004061407,0.78612968,0.33,0.138,1,,
Gm17106,0.004089593,0.654031267,0.184,0.034,1,,
E130311K13Rik,0.004106941,-0.509702217,0.016,0.069,1,,
Mast4,0.004121715,0.557716261,0.27,0.086,1,,
Xrcc4,0.004128532,0.5104404,0.191,0.034,1,,
Kctd1,0.004139226,0.542152301,0.22,0.052,1,,
Wwp1,0.004162499,0.454527248,0.357,0.155,1,,
Fam135a,0.00417242,0.519726785,0.272,0.086,1,,
Gm15563,0.004234161,0.675595652,0.266,0.086,1,,
Nme7,0.004241574,0.393155573,0.439,0.207,1,,
Odad1,0.00428528,-0.407451381,0.016,0.069,1,,
Ecpas,0.004308374,0.445999472,0.444,0.207,1,,
Dis3l2,0.004350448,0.266614067,0.326,0.121,1,,
2810410L24Rik,0.00435586,-0.988326693,0.033,0.103,1,,
Rassf8,0.004358443,0.323825029,0.24,0.069,1,,
Gm45182,0.004394332,0.606211813,0.155,0.017,1,,
Npffr2,0.004403091,0.647196789,0.124,0,1,,
Jund,0.004403092,0.605355412,0.124,0,1,,
Pgap1,0.004405611,0.590976774,0.266,0.086,1,,
Ip6k1,0.004433573,0.537827927,0.183,0.034,1,,
Pde1c,0.004435599,-0.349177323,0.205,0.379,1,,
Ncapg2,0.004491388,-0.788366333,0.033,0.103,1,,
Ppp2r5a,0.004513796,0.425398519,0.221,0.052,1,,
Gm2516,0.004528503,0.534931258,0.189,0.034,1,,
Smg1,0.004533207,0.597578261,0.315,0.121,1,,
Ikzf2,0.004590428,0.748486812,0.179,0.034,1,,
Rap2a,0.004618741,0.49716863,0.188,0.034,1,,
Rbis,0.004624831,0.599384152,0.123,0,1,,
Dclk1,0.004645947,0.347921558,0.779,0.483,1,,
Mbd5,0.004689529,0.516491,0.588,0.328,1,,
Gm15577,0.004705317,0.413973278,0.248,0.069,1,,
Gm15398,0.004848724,0.743602476,0.337,0.138,1,,
Ipo7,0.004857409,0.570916025,0.122,0,1,,
Slc38a6,0.004857409,0.582108822,0.122,0,1,,
Gm11266,0.004862906,-0.595641031,0.041,0.121,1,,
Nrg1,0.004892053,0.526738358,0.493,0.293,1,,
Trim9,0.004904991,0.308846497,0.513,0.241,1,,
Fam20c,0.004941274,0.524037921,0.155,0.017,1,,
Safb,0.004978232,0.512648676,0.215,0.052,1,,
Irf2,0.004990459,0.473951224,0.187,0.034,1,,
Igf2r,0.004995159,0.546448114,0.155,0.017,1,,
Aco2,0.005003931,0.352437664,0.241,0.069,1,,
Galnt18,0.005024611,0.584484766,0.232,0.069,1,,
S1pr5,0.005038255,-0.401670833,0.01,0.052,1,,
Scmh1,0.005100657,0.249873441,0.437,0.19,1,,
Ppil4,0.005101345,0.566031817,0.121,0,1,,
Tmem130,0.005106492,0.534589806,0.237,0.069,1,,
Sstr2,0.005170182,-0.547585906,0.01,0.052,1,,
Zfp950,0.0051755,0.303654388,0.301,0.103,1,,
Syt11,0.005211593,-0.692690447,0.417,0.5,1,,
Gm37606,0.005237303,-0.323298522,0.01,0.052,1,,
Kif4,0.005259859,-0.388723662,0.01,0.052,1,,
Arid4a,0.005301905,0.570918556,0.261,0.086,1,,
Kcnc2,0.005320272,0.941794606,0.487,0.293,1,,
Atxn1,0.005346933,0.414122899,0.493,0.241,1,,
Rasl11b,0.005357179,0.607812852,0.12,0,1,,
Ctbp2,0.005357179,0.577366042,0.12,0,1,,
Phc3,0.005378576,0.444050701,0.243,0.069,1,,
Eefsec,0.005395726,0.628522462,0.151,0.017,1,,
Dact1,0.005443441,-0.267585659,0.01,0.052,1,,
Fgfr2,0.005465266,0.289245522,0.699,0.379,1,,
Arhgef12,0.005511595,0.194546904,0.355,0.138,1,,
Gm43843,0.005625477,0.576757936,0.118,0,1,,
Gm45176,0.005625477,0.537520086,0.118,0,1,,
Hnrnpul1,0.005625478,0.557818725,0.118,0,1,,
Ntng1,0.005633058,0.981602028,0.228,0.069,1,,
Cmss1,0.005655509,-0.792171968,0.58,0.586,1,,
Clpp,0.005668144,0.639682973,0.148,0.017,1,,
Dtnb,0.005672817,0.273525703,0.363,0.138,1,,
Cntnap3,0.005677672,0.784590416,0.15,0.017,1,,
Gramd1b,0.005729726,0.38087851,0.283,0.103,1,,
Sh3gl2,0.005761172,0.158141896,0.507,0.241,1,,
Fam222b,0.005774153,0.489818504,0.182,0.034,1,,
Fer,0.005774586,0.603095043,0.305,0.121,1,,
Sorl1,0.005837208,0.440696757,0.239,0.069,1,,
Rpgr,0.00587519,0.550689866,0.233,0.069,1,,
Auts2,0.005885144,0.298184743,0.988,0.914,1,,
Galnt11,0.00589553,0.510899067,0.235,0.069,1,,
Gm38116,0.005906837,0.549846842,0.117,0,1,,
Mllt10,0.005916142,0.261945681,0.45,0.19,1,,
Ankfn1,0.005939465,0.989084169,0.199,0.052,1,,
Gm13944,0.005965898,0.528964954,0.305,0.121,1,,
Fndc3a,0.006058045,0.161751896,0.341,0.138,1,,
Map3k3,0.006064314,0.304769429,0.244,0.069,1,,
Tmem25,0.006096373,-0.559626019,0.017,0.069,1,,
Asph,0.006148098,0.321656769,0.267,0.086,1,,
Rpl17,0.006162161,0.290199876,0.212,0.052,1,,
Calm2,0.006186776,-0.639277055,0.72,0.69,1,,
Sgcz,0.006219261,0.963247138,0.449,0.241,1,,
Klhl3,0.006219319,0.436781667,0.176,0.034,1,,
Myef2,0.006301636,0.214392654,0.26,0.086,1,,
Fbxl20,0.00635176,0.438976673,0.254,0.086,1,,
Adcy9,0.00637349,0.463310315,0.207,0.052,1,,
Osbpl3,0.00637381,0.490059361,0.149,0.017,1,,
Malat1,0.006489602,0.202971766,1,1,1,,
Gm37298,0.006504791,-0.69859268,0.055,0.138,1,,
C130071C03Rik,0.00651027,-0.709791546,0.633,0.621,1,,
Dcaf10,0.006511249,0.533518836,0.115,0,1,,
Gm33989,0.00651125,0.569903713,0.115,0,1,,
Abi3bp,0.00651125,0.614439668,0.115,0,1,,
Tmem131,0.006527925,0.507853304,0.282,0.103,1,,
Synpr,0.006583058,0.204035517,0.735,0.448,1,,
Sox2ot,0.006610581,-0.907444848,0.728,0.759,1,,
Ski,0.00665444,0.362779157,0.21,0.052,1,,
Luzp2,0.006674776,0.399215215,0.48,0.276,1,,
Slc8a3,0.006676547,0.554985409,0.344,0.155,1,,
Smyd5,0.006687967,-0.374376279,0.017,0.069,1,,
Fzr1,0.006704731,-0.782757219,0.026,0.086,1,,
Ajap1,0.006709196,0.638447548,0.144,0.017,1,,
Taf1d,0.00670985,-0.016569081,0.237,0.069,1,,
Eda,0.00680517,0.60078747,0.172,0.034,1,,
Wasf1,0.006820929,0.501230808,0.229,0.069,1,,
Ston2,0.006835638,0.572273372,0.113,0,1,,
Spon1,0.006857504,-0.949526522,0.199,0.328,1,,
Lingo2,0.006862135,-1.014477941,0.302,0.414,1,,
Itgav,0.006879287,0.478516968,0.178,0.034,1,,
Rspry1,0.006908333,0.546270178,0.172,0.034,1,,
Far1os,0.006913366,0.498023661,0.178,0.034,1,,
Mical3,0.006946534,0.28965998,0.37,0.155,1,,
Dnah11,0.006973829,0.674356977,0.145,0.017,1,,
Trpm7,0.007022797,0.204751846,0.379,0.155,1,,
Serpini1,0.00703539,0.768747761,0.382,0.19,1,,
P4ha1,0.007086051,0.350363946,0.178,0.034,1,,
Tmem191c,0.007104322,0.488871157,0.235,0.069,1,,
Gm17231,0.007109982,0.427510518,0.146,0.017,1,,
Zmynd11,0.007136594,0.200831089,0.439,0.207,1,,
Ccdc30,0.007137049,0.595694258,0.201,0.052,1,,
Rit2,0.007194541,0.397294113,0.284,0.103,1,,
Rap1b,0.007207301,0.449610599,0.177,0.034,1,,
Eps15l1,0.007217496,0.412165939,0.205,0.052,1,,
Chic1,0.007253569,0.579326783,0.226,0.069,1,,
Sncaip,0.007257254,-1.331934882,0.067,0.155,1,,
