,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hit in database
101,Ccdc85b,3.41E-72,0.379423044,0.346,0.209,1.19E-67,4.62E-08,0.119156571,0.255,0.209,0.001610997,0
102,Ccdc88c,3.44E-16,-0.126720909,0.15,0.204,1.20E-11,2.01E-08,-0.085408019,0.166,0.204,0.000700682,0
103,Cck,1.56E-144,0.603918115,0.775,0.643,5.44E-140,1.56E-17,0.288200002,0.693,0.643,5.45E-13,0
104,Ccn1,3.60E-09,0.059914128,0.023,0.01,0.000125389,1.09E-06,-0.02684092,0.002,0.01,0.03814676,0
105,Ccnb1,3.75E-11,0.120086918,0.112,0.078,1.31E-06,2.51E-10,-0.08498994,0.049,0.078,8.75E-06,0
106,Ccser1,4.88E-08,-0.070372886,0.919,0.955,0.001701369,1.20E-15,0.147405572,0.91,0.955,4.18E-11,0
107,Cd2ap,5.48E-62,-0.279000237,0.336,0.483,1.91E-57,8.94E-08,-0.080939102,0.439,0.483,0.003115868,0
108,Cd81,1.29E-29,0.289685601,0.381,0.295,4.52E-25,2.41E-09,0.195447221,0.35,0.295,8.39E-05,0
109,Cdc42se2,4.37E-11,-0.096712413,0.361,0.421,1.52E-06,3.72E-09,-0.1006782,0.38,0.421,0.000129813,0
110,Cdh4,2.18E-17,0.21108133,0.309,0.248,7.60E-13,6.67E-08,0.112646994,0.294,0.248,0.002324936,0
111,Cdh6,7.10E-11,-0.134292868,0.297,0.347,2.48E-06,1.93E-15,-0.160120095,0.285,0.347,6.72E-11,0
112,Cdk8,6.60E-13,-0.107723979,0.48,0.55,2.30E-08,7.72E-08,-0.090297067,0.509,0.55,0.002691692,0
113,Cdr1os,4.49E-48,0.295161376,0.636,0.566,1.57E-43,2.42E-10,0.131885115,0.61,0.566,8.43E-06,0
114,Chchd10,2.57E-108,0.546229811,0.466,0.292,8.95E-104,3.23E-15,0.264774152,0.36,0.292,1.13E-10,0
115,Chchd2,2.72E-128,0.565015485,0.544,0.357,9.50E-124,6.49E-11,0.273779569,0.415,0.357,2.26E-06,0
116,Chd6,2.15E-15,-0.120360305,0.61,0.685,7.50E-11,7.42E-09,-0.077962874,0.641,0.685,0.000258698,0
117,Chrm3,5.60E-10,-0.10522004,0.744,0.802,1.95E-05,7.64E-08,-0.050400004,0.734,0.802,0.002664702,0
118,Cit,1.89E-28,-0.184512126,0.53,0.612,6.58E-24,2.11E-23,-0.182032848,0.551,0.612,7.36E-19,0
119,Ckb,7.57E-140,0.561005493,0.826,0.728,2.64E-135,1.49E-08,0.22851908,0.763,0.728,0.000520416,0
120,Clip1,4.05E-08,-0.064797627,0.51,0.565,0.001411921,9.61E-10,-0.105582641,0.524,0.565,3.35E-05,0
121,Clstn1,1.90E-27,0.231846953,0.742,0.709,6.64E-23,1.33E-07,-0.050690375,0.667,0.709,0.004627721,0
122,Cmss1,1.40E-13,-0.013854461,0.624,0.689,4.88E-09,5.79E-89,-0.252830533,0.539,0.689,2.02E-84,0
123,Cnnm2,2.61E-07,-0.075119337,0.278,0.324,0.009117348,2.87E-07,-0.092460097,0.286,0.324,0.010011225,0
124,Cntn5,3.54E-08,-0.178927825,0.797,0.833,0.001235527,5.06E-16,0.22400876,0.827,0.833,1.77E-11,0
125,Cntnap2,1.03E-08,-0.090885923,0.938,0.969,0.000360532,1.47E-07,0.146635313,0.937,0.969,0.005113913,0
126,Cntnap5a,1.46E-13,-0.222291239,0.591,0.643,5.10E-09,1.06E-14,-0.198632266,0.59,0.643,3.71E-10,0
127,Cntnap5b,8.04E-25,-0.378024678,0.472,0.54,2.80E-20,1.61E-08,-0.191390288,0.505,0.54,0.000562,0
128,Cntnap5c,3.55E-13,-0.218181696,0.179,0.229,1.24E-08,3.83E-24,-0.240261226,0.156,0.229,1.33E-19,0
129,Col25a1,7.76E-39,0.287033102,0.387,0.285,2.70E-34,6.00E-14,0.174528994,0.349,0.285,2.09E-09,0
130,Col26a1,1.54E-15,-0.113487651,0.1,0.147,5.38E-11,3.41E-11,-0.113822962,0.106,0.147,1.19E-06,0
131,Col4a1,1.21E-07,-0.073355909,0.189,0.228,0.004212493,2.12E-09,-0.107397563,0.186,0.228,7.40E-05,0
132,Coro2a,6.71E-09,-0.066659283,0.129,0.166,0.000234052,1.23E-08,-0.075991481,0.129,0.166,0.000428784,0
133,Cox19,3.86E-21,-0.108561651,0.132,0.196,1.35E-16,3.54E-10,-0.088022799,0.153,0.196,1.23E-05,0
134,Cox4i1,1.15E-138,0.568897268,0.722,0.562,4.01E-134,3.20E-13,0.28994263,0.62,0.562,1.12E-08,0
135,Cox5b,2.84E-69,0.407564,0.376,0.239,9.89E-65,3.32E-09,0.197955321,0.291,0.239,0.000115608,0
136,Cox6c,4.33E-89,0.47821007,0.507,0.352,1.51E-84,8.26E-08,0.223654207,0.402,0.352,0.00287874,0
137,Cox7a2,5.27E-58,0.391268481,0.383,0.26,1.84E-53,2.74E-08,0.18912189,0.306,0.26,0.000955712,0
138,Cox7b,6.01E-41,0.346612217,0.421,0.325,2.10E-36,4.30E-07,0.174274541,0.372,0.325,0.014984521,0
139,Cox8a,5.84E-157,0.603277835,0.696,0.52,2.04E-152,1.00E-18,0.3232236,0.593,0.52,3.49E-14,0
140,Cpne4,6.80E-10,0.183953521,0.53,0.49,2.37E-05,4.50E-14,0.248002373,0.547,0.49,1.57E-09,0
141,Cpne6,2.14E-32,0.246226169,0.231,0.153,7.48E-28,1.59E-07,0.105112985,0.19,0.153,0.005545765,0
142,Cpne9,1.34E-69,-0.32592548,0.217,0.352,4.66E-65,3.52E-12,-0.146726787,0.301,0.352,1.23E-07,0
143,Crebzf,1.28E-23,-0.164674928,0.432,0.521,4.45E-19,3.72E-18,-0.161838261,0.458,0.521,1.30E-13,0
144,Crhr1,4.05E-12,-0.083895796,0.144,0.191,1.41E-07,2.16E-08,-0.086006384,0.154,0.191,0.000754409,0
145,Csf2ra,5.48E-21,-0.13175341,0.181,0.251,1.91E-16,8.48E-09,-0.094780883,0.209,0.251,0.000295732,0
146,Csmd1,9.45E-133,-0.234988643,0.969,0.991,3.29E-128,2.95E-16,-0.073397224,0.96,0.991,1.03E-11,0
