"","X","X.1.x","p_val.x.x","avg_log2FC.x.x","pct.1.x.x","pct.2.x.x","p_val_adj.x.x","p_val.y.x","avg_log2FC.y.x","pct.1.y.x","pct.2.y.x","p_val_adj.y.x","hits.in.circadian.databases.x","X.1.y","p_val.x.y","avg_log2FC.x.y","pct.1.x.y","pct.2.x.y","p_val_adj.x.y","p_val.y.y","avg_log2FC.y.y","pct.1.y.y","pct.2.y.y","p_val_adj.y.y","hits.in.circadian.databases.y"
"65","Eif1",553,1.03e-123,0.526987095,0.75,0.62,3.58e-119,6.36e-74,-0.335962008,0.652,0.75,2.22e-69,"1",82,7.25e-28,0.49347581,0.722,0.614,2.53e-23,2.22e-12,-0.323895623,0.683,0.722,7.74e-08,"1"
"66","Erc2",608,2.82e-27,-0.139627744,0.939,0.968,9.85e-23,1.86e-12,0.123832999,0.927,0.939,6.49e-08,"1",86,2.56e-08,-0.155052392,0.826,0.904,0.000892535,1.74e-07,0.167204297,0.891,0.826,0.006071203,"1"
"67","Esrrg",611,3.38e-33,-0.283908271,0.426,0.525,1.18e-28,7.58e-15,0.210414497,0.495,0.426,2.64e-10,"1",87,3.11e-09,-0.266398224,0.461,0.565,0.000108495,1.3e-06,0.210750123,0.558,0.461,0.045450315,"1"
"68","Fer",648,9.64e-22,-0.151984728,0.44,0.524,3.36e-17,3.2e-11,0.122249971,0.507,0.44,1.11e-06,"#N/A",90,2.78e-09,-0.180448053,0.381,0.489,9.7e-05,4.51e-09,0.166908162,0.498,0.381,0.000157228,"#N/A"
"69","Fggy",653,1.09e-75,-0.288886276,0.183,0.323,3.81e-71,2.21e-39,0.216927898,0.287,0.183,7.71e-35,"#N/A",91,1.79e-11,-0.217798808,0.101,0.181,6.22e-07,9.62e-11,0.202796368,0.178,0.101,3.35e-06,"#N/A"
"70","Fmn1",663,3.08e-35,-0.218209046,0.334,0.443,1.07e-30,1.64e-08,0.143027817,0.386,0.334,0.000570476,"#N/A",92,2.5e-30,-0.524120773,0.315,0.498,8.72e-26,5.65e-19,0.390694439,0.464,0.315,1.97e-14,"#N/A"
"71","Focad",666,7.75e-26,-0.18932187,0.491,0.584,2.7e-21,1.94e-11,0.138710211,0.555,0.491,6.75e-07,"#N/A",94,2.1e-08,-0.188002016,0.394,0.496,0.000731855,5.71e-09,0.174308699,0.516,0.394,0.000198961,"#N/A"
"72","Fos",667,1.44e-38,0.196498721,0.101,0.042,5.01e-34,3.81e-85,-0.265418057,0.013,0.101,1.33e-80,"1",95,1.06e-10,0.242499985,0.071,0.023,3.68e-06,1.58e-15,-0.274279141,0.014,0.071,5.52e-11,"1"
"73","Frmd4a",671,2.55e-53,-0.213955582,0.895,0.943,8.9e-49,1.27e-19,0.172137497,0.905,0.895,4.44e-15,"#N/A",96,2.63e-14,-0.234856269,0.855,0.942,9.18e-10,5.96e-07,0.165557186,0.925,0.855,0.020793953,"#N/A"
"74","Frmd5",673,2.82e-42,-0.242245357,0.664,0.761,9.84e-38,2.07e-10,0.139422047,0.716,0.664,7.21e-06,"1",97,8.63e-13,-0.211290698,0.79,0.881,3.01e-08,8.26e-07,0.130666315,0.89,0.79,0.028802009,"1"
