X.1,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hits in circadian databases
139,Apba2,6.40E-11,-0.090437533,0.752,0.815,2.23E-06,1.34E-10,0.128209793,0.788,0.752,4.69E-06,#N/A
140,Apc,7.17E-15,-0.099290782,0.753,0.81,2.50E-10,5.53E-10,0.112521263,0.793,0.753,1.93E-05,1
142,Apoe,8.95E-19,0.312450122,0.373,0.309,3.12E-14,2.00E-17,0.268546507,0.458,0.373,6.97E-13,#N/A
143,App,2.29E-19,0.171622321,0.887,0.888,7.98E-15,1.39E-21,-0.122824425,0.87,0.887,4.85E-17,#N/A
145,Ar,2.21E-12,0.132981393,0.255,0.206,7.70E-08,7.42E-07,-0.094260423,0.22,0.255,0.025875806,2
147,Arf1,2.69E-33,0.257880312,0.304,0.215,9.39E-29,8.33E-26,-0.221725979,0.228,0.304,2.91E-21,1
148,Arf3,2.04E-27,0.250969001,0.51,0.439,7.11E-23,2.55E-34,-0.245864133,0.43,0.51,8.88E-30,1
149,Arf4,9.09E-10,0.146245891,0.257,0.216,3.17E-05,1.19E-07,-0.091146023,0.223,0.257,0.00416014,1
150,Arf5,7.72E-19,0.184690101,0.344,0.278,2.69E-14,4.21E-16,-0.161161455,0.282,0.344,1.47E-11,#N/A
151,Arfgap3,4.88E-19,-0.08075452,0.071,0.118,1.70E-14,7.04E-11,0.050769241,0.107,0.071,2.45E-06,1
152,Arglu1,4.95E-20,-0.126831161,0.701,0.766,1.73E-15,2.79E-19,0.173756719,0.76,0.701,9.72E-15,2
153,Arhgap15,1.98E-34,-0.242405686,0.377,0.48,6.89E-30,6.92E-37,0.289714823,0.485,0.377,2.41E-32,#N/A
154,Arhgap17,6.10E-14,-0.120384822,0.264,0.324,2.13E-09,4.09E-07,0.077870905,0.312,0.264,0.014253077,#N/A
155,Arhgap27os2,3.03E-16,-0.065643973,0.041,0.076,1.06E-11,9.65E-19,0.075163789,0.081,0.041,3.37E-14,#N/A
156,Arhgap31,1.67E-12,0.114635263,0.1,0.066,5.82E-08,3.12E-09,-0.093657468,0.07,0.1,0.000108911,#N/A
157,Arhgap42,1.15E-52,-0.247213727,0.21,0.329,4.02E-48,6.34E-18,0.139166061,0.282,0.21,2.21E-13,#N/A
159,Arhgdia,1.24E-07,0.099349868,0.147,0.116,0.004340339,3.96E-11,-0.11136218,0.107,0.147,1.38E-06,#N/A
160,Arhgef33,2.78E-09,-0.039790676,0.026,0.046,9.68E-05,1.96E-13,0.056189609,0.052,0.026,6.83E-09,#N/A
161,Arl1,6.09E-15,0.169750559,0.186,0.138,2.12E-10,7.68E-11,-0.111751671,0.145,0.186,2.68E-06,#N/A
163,Arl6ip5,1.26E-11,0.171910955,0.287,0.241,4.40E-07,1.03E-06,-0.115159031,0.258,0.287,0.035800634,1
164,Armh3,4.26E-10,-0.09121821,0.313,0.369,1.48E-05,6.68E-08,0.097093105,0.37,0.313,0.002329848,#N/A
165,Arnt2,3.85E-37,-0.208632522,0.493,0.596,1.34E-32,6.75E-13,0.143282724,0.559,0.493,2.35E-08,#N/A
166,Arpc1a,1.34E-17,0.200482961,0.398,0.338,4.69E-13,1.52E-20,-0.195974389,0.332,0.398,5.30E-16,#N/A
169,Arpc5,1.78E-07,0.124184056,0.244,0.209,0.006213951,4.72E-21,-0.159011098,0.177,0.244,1.64E-16,#N/A
170,Arpc5l,2.49E-20,0.197060644,0.289,0.222,8.69E-16,5.24E-15,-0.156588113,0.233,0.289,1.83E-10,#N/A
172,Arrdc1,9.67E-12,-0.050132859,0.044,0.074,3.37E-07,5.13E-09,0.041819068,0.07,0.044,0.000178864,#N/A
