"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"70","Gm26843",3.19973643599028e-14,-0.50503447463261,0.118,0.23,1.11565210313673e-09,6.1222610408113e-10,0.385549423155715,0.2,0.118,2.13464875709967e-05
"71","Gm28175",2.59161283553074e-09,-0.383546191162705,0.092,0.17,9.03617647364504e-05,4.4014752596131e-07,0.275231675104987,0.152,0.092,0.015346623787693
"72","Gm45846",2.28328941654322e-17,-0.512642248147389,0.056,0.157,7.96114520866125e-13,5.07724742743287e-13,0.400009655223402,0.133,0.056,1.77028386052302e-08
"73","Gm47283",1.74259811107301e-09,0.245139638354242,0.04,0.003,6.07591683387826e-05,1.18384136973609e-06,0.215006560916102,0.082,0.04,0.0412769970385881
"74","Gpc5",2.75693076186688e-28,-0.355385300547217,0.85,0.896,9.61259048740125e-24,1.35129901854785e-31,0.354041041742418,0.843,0.85,4.71157428797079e-27
"75","Gpr158",2.18627770776664e-20,-0.648259036909934,0.098,0.23,7.62289448366994e-16,1.11672213063699e-07,0.30917721667978,0.163,0.098,0.003893675052892
"76","Grik1",4.03925059629632e-12,-0.496155018505452,0.09,0.182,1.40836550541064e-07,1.91481208158958e-08,0.375486827766331,0.158,0.09,0.000667637528487838
"77","Hint1",2.67800541883194e-13,0.583508251594532,0.298,0.182,9.33740149384131e-09,5.18023228303697e-08,-0.375207145057688,0.22,0.298,0.0018061915901265
"78","Hsp90aa1",6.98585651849067e-18,0.580957465308626,0.566,0.427,2.43575859230214e-13,7.88595504657572e-23,-0.532165570649172,0.425,0.566,2.74959594608956e-18
"79","Hsp90ab1",1.72790370469291e-31,0.618882610544646,0.725,0.551,6.02468184715276e-27,3.64742638970418e-36,-0.607862601999897,0.57,0.725,1.27174815929816e-31
"80","Hsp90b1",2.94632233167013e-08,0.403202869032365,0.307,0.214,0.00102729420738343,2.3295772286056e-09,-0.334402163178309,0.218,0.307,8.12253692297916e-05
"81","Hspa5",2.5841322147683e-17,0.658717818233913,0.302,0.164,9.01009379323264e-13,4.58927567803996e-26,-0.750094122226013,0.157,0.302,1.60014275066219e-21
"82","Hspa8",6.23097253854834e-20,0.584809215443353,0.577,0.416,2.17255319501565e-15,5.56946450655186e-19,-0.492843141840237,0.444,0.577,1.94190518949944e-14
"83","Il18",1.65278458160702e-09,-0.381073315178838,0.321,0.425,5.7627640006892e-05,2.00733426203204e-07,0.278016818970881,0.411,0.321,0.00699897237142713
"84","Junb",8.73422159183325e-07,0.286029784471537,0.069,0.027,0.030453610424245,9.33467836427237e-15,-0.356003432849682,0.015,0.069,3.25472230527085e-10
"85","Kcnk2",2.84125477563503e-07,-0.364677291139932,0.252,0.346,0.00990660302620664,9.09443561333218e-09,0.349709267866217,0.35,0.252,0.000317095686530053
"86","Kcnma1",2.5338432666491e-12,-0.367541888006039,0.381,0.516,8.83475131782542e-08,2.39233111748594e-07,0.262236480354623,0.477,0.381,0.00834134090733821
"87","Lama3",3.8879411359941e-09,-0.329755290264516,0.27,0.382,0.000135560843588706,4.52078374249609e-11,0.32630405168912,0.387,0.27,1.57626166749611e-06
