"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"222","Gsdme",5.65555290872631e-09,0.213713284025824,0.194,0.143,0.00019719216326856,0.213713284025824,6.3009158159603e-08,-0.20512081296671,0.15,0.194,0.00219694031755088,-0.20512081296671,"sig","#E7B800"
"223","Gxylt2",4.88124344864382e-07,0.154886116633693,0.028,0.013,0.0170194315323864,0.154886116633693,8.93217105777665e-09,-0.149594161962693,0.012,0.028,0.000311438008271498,-0.149594161962693,"sig","#E7B800"
"224","Hcn2",2.97519908542111e-08,-0.355816015950981,0.055,0.084,0.00103736266511378,-0.355816015950981,0.039975744302733,0.111386487158474,0.065,0.055,1,0.111386487158474,"non-sig","#00AFBB"
"225","Hdac8",1.74219886575305e-09,0.231661093409934,0.404,0.337,6.07452478522117e-05,0.231661093409934,0.10624089232257,-0.0307705242122047,0.379,0.404,1,-0.0307705242122047,"non-sig","#00AFBB"
"226","Hepacam",2.05913687609721e-07,0.130943009497853,0.324,0.262,0.00717959254588813,0.130943009497853,0.000340999828647815,-0.103018762722293,0.288,0.324,1,-0.103018762722293,"non-sig","#00AFBB"
"227","Hif3a",5.67637915049612e-58,0.556460956368306,0.131,0.034,1.97918311840348e-53,0.556460956368306,9.6143469200598e-09,-0.18054128189591,0.093,0.131,0.000335223434061725,-0.18054128189591,"sig","#E7B800"
"228","Hip1",1.17244534587885e-07,0.111133690228713,0.251,0.195,0.00408796518747579,0.111133690228713,0.0114927809104939,-0.0436507779359765,0.224,0.251,1,-0.0436507779359765,"non-sig","#00AFBB"
"229","Hivep3",1.46388851315525e-07,0.154056656363482,0.388,0.325,0.00510414007881842,0.154056656363482,0.793525178707386,0.0192369487166322,0.379,0.388,1,0.0192369487166322,"non-sig","#00AFBB"
"230","Hlcs",1.2732382922778e-09,0.123183211678875,0.124,0.082,4.439399953685e-05,0.123183211678875,0.00192860408784865,-0.0639364646546429,0.103,0.124,1,-0.0639364646546429,"non-sig","#00AFBB"
"231","Hlf",1.65234435882287e-07,0.194806762872223,0.184,0.139,0.00576122907590772,0.194806762872223,9.56494433259599e-07,-0.220350127542917,0.147,0.184,0.0333500914044624,-0.220350127542917,"sig","#E7B800"
