"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"A830082K12Rik5",2.2479266502126e-09,0.319771594334089,0.118,0.307,7.83784585129629e-05,"16","A830082K12Rik"
"Zfp280d2",2.28245559044708e-09,0.252545078271156,0.21,0.469,7.95823790721185e-05,"16","Zfp280d"
"Mtdh3",2.35861800054866e-09,0.285955251803944,0.219,0.481,8.22379338251302e-05,"16","Mtdh"
"Atp1a13",2.41312905871392e-09,0.282105925163124,0.201,0.454,8.41385708901781e-05,"16","Atp1a1"
"Aplp23",2.41847266202674e-09,0.327608807231426,0.216,0.477,8.43248863068864e-05,"16","Aplp2"
"Ndufs41",2.82180365380512e-09,0.337078360029846,0.127,0.32,9.8387827997223e-05,"16","Ndufs4"
"Focad4",2.86479345482566e-09,0.365736578924392,0.157,0.374,9.98867533894061e-05,"16","Focad"
"Oga1",3.13416512946429e-09,0.267382041857165,0.169,0.391,0.000109278935569031,"16","Oga"
"Zfp1061",3.39621410147483e-09,0.257024453087642,0.115,0.297,0.000118415797076123,"16","Zfp106"
"Glg1",3.91501778335833e-09,0.260250349649278,0.166,0.382,0.000136504925052355,"16","Glg1"
"Ubxn41",3.9618042045389e-09,0.272184319270359,0.115,0.296,0.000138136227199658,"16","Ubxn4"
"Glrb1",4.25079555481072e-09,0.297517966803061,0.178,0.407,0.000148212488609585,"16","Glrb"
"Atp6v1b21",4.26434268769512e-09,0.387139647401552,0.169,0.392,0.000148684836491866,"16","Atp6v1b2"
"Dyrk1a1",4.43496800548047e-09,0.27483144265221,0.139,0.335,0.000154634029447087,"16","Dyrk1a"
"Pkia4",4.46096854292892e-09,0.401843490347915,0.136,0.334,0.000155540590186303,"16","Pkia"
"Pcca2",4.51976184588108e-09,0.263819910159028,0.172,0.392,0.000157590536280335,"16","Pcca"
"Syt113",4.93130022840371e-09,0.299262116855156,0.254,0.543,0.000171939645063752,"16","Syt11"
"Ola1",5.03086135425796e-09,0.362234673375704,0.133,0.327,0.000175411042838912,"16","Ola1"
"Map4k32",5.0866096195125e-09,0.297402439417181,0.175,0.396,0.000177354817603542,"16","Map4k3"
"Specc1l1",5.24919275660262e-09,0.304218173787283,0.101,0.269,0.000183023603844464,"16","Specc1l"
"Slc12a23",5.29581027645013e-09,1.25308165244111,0.325,0.247,0.000184649016908987,"16","Slc12a2"
"Spred12",5.51259418724754e-09,0.356004378969894,0.183,0.415,0.00019220762152676,"16","Spred1"
"Mat2a3",5.65165552060032e-09,0.32920837212261,0.16,0.372,0.000197056273036771,"16","Mat2a"
"Hnrnpa32",5.95795912715757e-09,0.343733899214367,0.154,0.358,0.000207736160886603,"16","Hnrnpa3"
"Ppp4r3b2",6.03461701835047e-09,0.283114518332653,0.107,0.278,0.000210408991578826,"16","Ppp4r3b"
"Nap1l11",6.96112893130789e-09,0.375937613782445,0.133,0.324,0.000242713682447912,"16","Nap1l1"
