"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","group2"
"33035","Gm15475",1.33042822189532,0.0317497320156467,0.0208988411457789,0.98332635105477,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33036","Gm4606",1.32959176630237,0.0330471630361456,0.0208667582688153,0.983351943905945,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33037","Crxos",0.98995476605817,0.037454143987362,0.0208395774889286,0.983373626315706,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33038","Notumos",1.99693886494317,0.0259151578269605,0.0208150940647259,0.983393157025418,NA,0.00043271311120727,0.000512032770097286,"SD3D R7","ZT6"
"33039","Gm25869",0.989907290096913,0.03737649262054,0.0207961062255497,0.983408303850459,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33040","Gm17041",0.989907290096913,0.03737649262054,0.0207961062255497,0.983408303850459,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33041","Gm24989",0.989907290096913,0.03737649262054,0.0207961062255497,0.983408303850459,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33042","4930556G22Rik",1.33140710537203,0.030745987013808,0.0207824131168376,0.983419227009776,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33043","Ces1a",1.33140710537203,0.030745987013808,0.0207824131168376,0.983419227009776,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33044","Oit3",1.33140710537203,0.030745987013808,0.0207824131168376,0.983419227009776,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33045","Meox2",1.33140710537203,0.030745987013808,0.0207824131168376,0.983419227009776,NA,0.000346170488965816,0.000256016385048643,"SD3D R7","ZT6"
"33046","Gm20628",24.8976402891744,-0.00737857739204784,-0.0207568420359486,0.983439625380247,NA,0.00640415404586759,0.00640040962621608,"SD3D R7","ZT6"
"33047","Gm49668",51.8032790567453,-0.00496571204202182,-0.0206556948107488,0.983520311890561,0.993770566294341,0.0129813933362181,0.0133981908175457,"SD3D R7","ZT6"
"33048","Gm31706",11.1269326735666,-0.0108550240780052,-0.0206525587250101,0.983522813591293,NA,0.00285590653396798,0.00247482505547022,"SD3D R7","ZT6"
"33049","Gm39129",0.998494343692526,0.0388298248853788,0.0206119268458074,0.983555226240787,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33050","Pax9",0.998494343692526,0.0388298248853788,0.0206119268458074,0.983555226240787,NA,0.000259627866724362,0.000170677590032429,"SD3D R7","ZT6"
"33051","Gm14838",0.998494343692526,0.0388298248853788,0.0206119268458074,0.983555226240787,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33052","Pisd-ps2",1.66741049357637,0.0289711316460527,0.0205716982826807,0.98358731718584,NA,0.00043271311120727,0.000426693975081072,"SD3D R7","ZT6"
"33053","Gm31282",179.098954828044,-0.00267567922589725,-0.0205081788866688,0.983637987641438,0.99381339274929,0.0421462570315881,0.0428400750981396,"SD3D R7","ZT6"
"33054","Gm38560",38.5413703002244,0.00590204556191951,0.0204621244229669,0.983674726077685,0.99381339274929,0.00891389009086975,0.00861921829663765,"SD3D R7","ZT6"
"33055","Gm23112",0.999425751207985,0.0369024277712716,0.0203809681456,0.983739465917446,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33056","E130310I04Rik",1.66338845953608,0.027227205859398,0.0203379775552385,0.983773760337358,NA,0.00043271311120727,0.000426693975081072,"SD3D R7","ZT6"
"33057","Gm8121",1.32895412257479,0.0300969299509826,0.0203354535966409,0.983775773748557,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33058","Clec2i",1.32895412257479,0.0300969299509826,0.0203354535966409,0.983775773748557,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33059","4930442H23Rik",1.32895412257479,0.0300969299509826,0.0203354535966409,0.983775773748557,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33060","Gm48808",1.32895412257479,0.0300969299509826,0.0203354535966409,0.983775773748557,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33061","Gm9748",1.32895412257479,0.0300969299509826,0.0203354535966409,0.983775773748557,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33062","Gm15267",1.32895412257479,0.0300969299509826,0.0203354535966409,0.983775773748557,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33063","Gm43219",1.32890664661353,0.0300432170527781,0.0202990021446396,0.983804851797146,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33064","Gm15884",1.32890664661353,0.0300432170527781,0.0202990021446396,0.983804851797146,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33065","Snord35a",1.32890664661353,0.0300432170527781,0.0202990021446396,0.983804851797146,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33066","Ska1",2.33495933798307,0.0237619510842753,0.0202538873509717,0.98384084079556,NA,0.000519255733448723,0.000597371565113501,"SD3D R7","ZT6"
"33067","Gm29761",1.33145458133329,0.0307477765635194,0.0202428828958023,0.983849619280678,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33068","Gm50215",1.33145458133329,0.0307477765635194,0.0202428828958023,0.983849619280678,NA,0.000259627866724362,0.000341355180064858,"SD3D R7","ZT6"
"33069","Car10",17137.8890212008,0.000381838450251388,0.0201877924701285,0.983893566100197,0.993977886900678,0.483859800951969,0.558457074586107,"SD3D R7","ZT6"
"33070","1700039E22Rik",1.66343593549734,0.0271940298475704,0.0201180442201931,0.983949205852038,NA,0.00043271311120727,0.000426693975081072,"SD3D R7","ZT6"
"33071","Il17f",0.990002242019428,0.0379305525395805,0.0200861567860345,0.98397464320337,NA,0.000173085244482908,0.000256016385048643,"SD3D R7","ZT6"
"33072","Nrk",1.32434162705821,0.0317426617547608,0.0200239386145602,0.984024276139473,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33073","Gm43797",0.990886173573629,0.0359101526084828,0.0199855203819148,0.984054923321203,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33074","Gm55829",0.990886173573629,0.0359101526084828,0.0199855203819148,0.984054923321203,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33075","Gm47117",0.990886173573629,0.0359101526084828,0.0199855203819148,0.984054923321203,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33076","Cir1",583.803333013939,-0.00145022720124329,-0.0199707433248509,0.9840667113542,0.994022336497665,0.132496754651666,0.135859361665813,"SD3D R7","ZT6"
