"","Gene_without_dots","X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","NS_1_FC_clean_L001","NS_2_FC_clean_L002","NS_3_FC_clean_L003","NS_4_FC_clean_L004","SD1D_1_FC_clean_L005","SD1D_2_FC_clean_L006","SD1D_3_FC_clean_L007","SD1D_4_FC_clean_L008","SD3D_1_FC_clean_L009","SD3D_2_FC_clean_L010","SD3D_3_FC_clean_L011","SD3D_4_FC_clean_L012","R7_1_FC_clean_L013","R7_2_FC_clean_L014","R7_3_FC_clean_L015","R7_4_FC_clean_L016","SYMBOL"
"54","ENSMUSG00000000301",3641,"ENSMUSG00000000301.17",21.8306478819278,-0.601806302318525,0.370668459922981,-1.62357029903103,0.104467548605666,0.447054238706355,13.7836102162947,23.3399856837708,27.7422054672064,33.864198857424,23.8440833196105,21.8183660460894,34.9004246300296,17.455140680521,12.3157630790933,9.88477345390406,19.3163683916656,23.2409133125728,19.4134259937558,30.3372101278725,17.0228122118332,21.0110846392011,"Pemt"
"55","ENSMUSG00000000303",4432,"ENSMUSG00000000303.13",83.0005357603792,-0.381241605335534,0.260503451219765,-1.46348005583201,0.143336067052267,0.50376900050264,145.876541455785,82.5876416502659,85.2815945843753,75.6300441149135,121.491281676111,59.5046346711528,69.8008492600592,92.4095683086404,67.7366969350133,110.709462683726,68.0672029039646,52.0596458201632,78.5781528318688,73.9469496866892,74.9003737320662,69.4279318512733,"Cdh1"
"56","ENSMUSG00000000305",507,"ENSMUSG00000000305.13",456.668952444913,0.312154533205991,0.107084186354173,2.91503856763279,0.00355644589485572,0.109443133829465,317.023034974777,430.892043392691,406.885680185694,372.506187431664,485.965126704442,565.294029375952,505.527362822853,540.082588114943,512.130481372298,466.561307024272,498.546269918227,423.914258821329,417.850883294173,438.941509037655,434.932852012339,489.649624635296,"Cdh4"
"57","ENSMUSG00000000308",2392,"ENSMUSG00000000308.15",1491.84038769196,0.227031468965939,0.11718870908114,1.9373152136077,0.0527068236821849,0.343757290904832,1099.2429147495,1448.87449590792,1434.37477156371,1452.77413098349,1199.0167612147,1502.49202544661,1406.59287145271,1238.28821533578,1679.04903311639,1686.34235123603,1474.48278723048,1524.60391330478,1337.67749585546,1826.86887238782,1761.86106392474,1796.90449936124,"Ckmt1"
"58","ENSMUSG00000000317",2975,"ENSMUSG00000000317.12",28.011813624138,-0.517487142328269,0.291120742553012,-1.77756877709954,0.0754747056077097,0.395817262820668,39.0535622795015,25.135369197907,34.9346291068525,38.3794253717471,32.9275436318431,29.7523173355764,27.4973042539627,15.4015947181067,23.6052125682622,23.7234562893698,18.3965413253958,29.7483690400932,23.1112214211379,29.3891723113765,30.6410619812998,26.4922371537753,"Bcl6b"
"59","ENSMUSG00000000318",3791,"ENSMUSG00000000318.17",12.5040423602385,-0.708909252160178,0.445380262304669,-1.59169436133485,0.111453395917118,0.458473037714782,31.013122986663,15.2607598701578,14.3848472792922,9.03045302864639,10.2188928512616,6.94220737830117,7.40312037606688,11.2945027932783,11.2894494891689,8.89629610851366,7.35861653015834,14.8741845200466,10.1689374253007,18.0127185134243,10.2136873270999,13.7028812864355,"Clec10a"
"60","ENSMUSG00000000320",325,"ENSMUSG00000000320.11",12.4908872517348,-1.75022959855447,0.547672225699503,-3.19576110751101,0.00139462530469038,0.0666883772572783,34.4590255407367,23.3399856837708,12.3298690965362,7.90164640006559,9.08346031223257,2.97523173355764,16.9214180024386,9.24095683086404,6.15788153954667,6.91934141773284,6.43878946388854,3.71854613001166,10.1689374253007,11.3764537979522,18.7250934330166,20.0975592201054,"Alox12"
"61","ENSMUSG00000000326",4993,"ENSMUSG00000000326.14",1471.81169871882,0.15059974124272,0.111283756989046,1.35329490410307,0.17596143653175,0.549781948638833,1139.44511121369,1361.79839547232,1371.69793698965,1496.79758949814,1177.44354297315,1559.0214283842,1451.01159370911,1482.66018486307,1535.36513052697,1599.35634484168,1458.84572710389,1368.42497584429,1504.07829008765,1714.0523722248,1444.38561617405,1884.60293959443,"Comt"
"62","ENSMUSG00000000339",6048,"ENSMUSG00000000339.15",543.236953257101,0.121445203036904,0.102882027448178,1.18043166575499,0.237828573836331,0.613525365243788,493.912699417225,554.77350586809,517.85450205452,494.41730331839,471.204503697064,460.169174790249,577.443389333217,450.753338749924,542.919889070031,543.662539964724,569.372954021001,587.530288541842,521.389155260871,671.210774079179,646.866864049663,588.310369897631,"Rtca"
"63","ENSMUSG00000000340",9446,"ENSMUSG00000000340.11",162.784382025335,-0.150248651591591,0.212486549097076,-0.707097236178227,0.479506053409477,0.791845891587952,189.524640474052,139.142222345557,169.535700077373,147.873668344085,272.503809366977,163.63774534567,157.580705147709,245.398742508501,119.052376431236,119.605758792239,164.649044862293,177.560577708057,177.494180514339,95.7518194660976,132.777935252299,132.461185768877,"Dbt"
