"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","group2"
"26514","B230208H11Rik",14.4397648397335,-0.131053424371118,-0.282397429889044,0.777638785486391,NA,0.0033217073575818,0.00384024577572965,"SD6h ZT0-ZT6","ZT6"
"26515","Gm44005",149.710067515732,0.0414116952182909,0.282366095894302,0.777662809226664,0.905595237567004,0.0351270553064275,0.0361836490868749,"SD6h ZT0-ZT6","ZT6"
"26516","Pcsk2os1",362.713205572576,0.0260155099538835,0.282313053324751,0.777703477392483,0.905595237567004,0.0793888058462049,0.0846560846560847,"SD6h ZT0-ZT6","ZT6"
"26517","Gm16305",5.64614559578856,0.205003411401727,0.282243598761142,0.77775672968727,NA,0.00149476831091181,0.00136542072025943,"SD6h ZT0-ZT6","ZT6"
"26518","Gm29296",5.31248126357582,0.215205908164256,0.28216604330013,0.777816194346466,NA,0.00132868294303272,0.00128008192524322,"SD6h ZT0-ZT6","ZT6"
"26519","Gm16291",14.766110312526,-0.126615784940246,-0.282151413365562,0.777827411807845,NA,0.00340475004152134,0.00392558457074586,"SD6h ZT0-ZT6","ZT6"
"26520","Gm42503",4.98142874633086,0.22919367969704,0.282114652421474,0.777855598363173,NA,0.00132868294303272,0.001194743130227,"SD6h ZT0-ZT6","ZT6"
"26521","Gm15484",14.440057442338,0.133352209364329,0.282076510193384,0.77788484433082,NA,0.00357083540940043,0.00349889059566479,"SD6h ZT0-ZT6","ZT6"
"26522","Olfr543",5.30884799689495,0.216163337974868,0.282065865021759,0.777893006687947,NA,0.00141172562697226,0.00128008192524322,"SD6h ZT0-ZT6","ZT6"
"26523","Gm7008",14.4313158303485,-0.130213132960466,-0.282053773158399,0.777902278349036,NA,0.00323866467364225,0.00392558457074586,"SD6h ZT0-ZT6","ZT6"
"26524","AI662270",2.98783072208526,-0.286599863055223,-0.281989985491027,0.777951189252546,NA,0.000664341471516359,0.000853387950162144,"SD6h ZT0-ZT6","ZT6"
"26525","Gm13972",15.4498576826467,0.129178810707452,0.281922495213075,0.778002940189823,NA,0.00381996346121907,0.00349889059566479,"SD6h ZT0-ZT6","ZT6"
"26526","Gkn1",0.828794380707664,-0.551691954681622,-0.281893726904427,0.778024999769122,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26527","Gm2726",0.828794380707664,-0.551691954681622,-0.281893726904427,0.778024999769122,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26528","Gm14931",0.828794380707664,-0.551691954681622,-0.281893726904427,0.778024999769122,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26529","Gm47147",6.13475879153435,-0.199657749144569,-0.281878066030625,0.778037008624254,NA,0.00141172562697226,0.00170677590032429,"SD6h ZT0-ZT6","ZT6"
"26530","Gm27196",0.828719913784207,-0.551567034656607,-0.281823648957348,0.778078736385555,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26531","Gm15753",0.828719913784207,-0.551567034656607,-0.281823648957348,0.778078736385555,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26532","Gm47019",0.828719913784207,-0.551567034656607,-0.281823648957348,0.778078736385555,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26533","Gm49180",0.828719913784207,-0.551567034656607,-0.281823648957348,0.778078736385555,NA,0.00016608536787909,0.000170677590032429,"SD6h ZT0-ZT6","ZT6"
"26534","Gm15640",0.828719913784207,-0.551567034656607,-0.281823648957348,0.778078736385555,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26535","Gm15971",0.828719913784207,-0.551567034656607,-0.281823648957348,0.778078736385555,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26536","Gm37402",18.5631879851171,-0.120316340762273,-0.281744908309649,0.778139116931651,0.906021837272046,0.00431821956485634,0.00494965011094043,"SD6h ZT0-ZT6","ZT6"
"26537","Smtn",19.2388455851928,-0.114415904208008,-0.281670113651404,0.778196472822446,0.906021837272046,0.00448430493273543,0.00512032770097286,"SD6h ZT0-ZT6","ZT6"
"26538","C030034L19Rik",37.0042009025076,-0.0813211431835196,-0.281649384038672,0.778212369430953,0.906021837272046,0.00880252449759176,0.00972862263184844,"SD6h ZT0-ZT6","ZT6"
"26539","Gm22092",0.830691790115583,-0.550850152373619,-0.281648021582617,0.778213414240529,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26540","ENSMUSG00000120084",0.830691790115583,-0.550850152373619,-0.281648021582617,0.778213414240529,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26541","1700034G24Rik",0.830691790115583,-0.550850152373619,-0.281648021582617,0.778213414240529,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26542","Gm232",0.830691790115583,-0.550850152373619,-0.281648021582617,0.778213414240529,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26543","Gm25547",0.830691790115583,-0.550850152373619,-0.281648021582617,0.778213414240529,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26544","Gm20546",0.830691790115583,-0.550850152373619,-0.281648021582617,0.778213414240529,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26545","Gm41790",0.830691790115583,-0.550850152373619,-0.281648021582617,0.778213414240529,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26546","Gm47782",4.6576667044829,0.241603686938366,0.281526124881063,0.77830689325663,NA,0.000996512207274539,0.00102406554019457,"SD6h ZT0-ZT6","ZT6"
"26547","Ankrd17",3856.88237053304,-0.00912006834728488,-0.28150282119901,0.778324764534291,0.906035251754661,0.498920445108786,0.542242703533026,"SD6h ZT0-ZT6","ZT6"
"26548","Kpna7",18.2517600308738,-0.123997302182897,-0.281438491307674,0.778374098863832,0.906035251754661,0.00431821956485634,0.00469363372589179,"SD6h ZT0-ZT6","ZT6"
"26549","Atg12",568.108316584275,-0.021295530225972,-0.281394129641789,0.778408120163624,0.906035251754661,0.12406576980568,0.132360471070148,"SD6h ZT0-ZT6","ZT6"
