"","Gene_without_dots","X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","NS_1_FC_clean_L001","NS_2_FC_clean_L002","NS_3_FC_clean_L003","NS_4_FC_clean_L004","SD1D_1_FC_clean_L005","SD1D_2_FC_clean_L006","SD1D_3_FC_clean_L007","SD1D_4_FC_clean_L008","SYMBOL"
"73","ENSMUSG00000000386",14217,"ENSMUSG00000000386.19",4.99982192287204,-0.305120874589453,0.754228974002024,-0.404546742576657,0.685810712683452,NA,2.18147134529035,7.66408332069109,6.78931236668346,5.34921043063266,4.31033533425614,4.70630428752494,8.02605684615668,0.971801451741031,"Mx1"
"74","ENSMUSG00000000392",2246,"ENSMUSG00000000392.18",45.1812320286623,-0.501504889494587,0.274137232027759,-1.8293935697279,0.0673406702194497,0.425152908106382,69.8070830492913,52.7970184314275,34.9164636000864,54.5619463924531,33.4050988404851,35.7679125851895,47.1530839711705,33.041249359195,"Fap"
"75","ENSMUSG00000000394",14218,"ENSMUSG00000000394.16",0.90918991483499,-1.43341344372642,2.09903707946394,-0.682890958787871,0.49467574743716,NA,2.18147134529035,0,0,3.20952625837959,0,1.88252171500997,0,0,"Gcg"
"76","ENSMUSG00000000399",8205,"ENSMUSG00000000399.11",709.55118990758,0.0770038333930994,0.106221654730094,0.724935358884815,0.468491687535168,0.809550040868383,595.541677264266,742.564517293626,765.252493901893,657.952882967817,689.653653480982,767.127598866565,763.478657490655,694.838037994837,"Ndufa9"
"77","ENSMUSG00000000402",7716,"ENSMUSG00000000402.3",33.597569573746,-0.257066471944269,0.324680419604066,-0.791752309109834,0.428505115089988,0.787833656120546,49.0831052690329,34.914157349815,37.8261689000936,24.6063679809102,23.7068443384088,20.7077388651097,37.1205129134747,40.8156609731233,"Egfl6"
"78","ENSMUSG00000000409",14219,"ENSMUSG00000000409.15",8.87229186306605,-0.0929615134637875,0.639535259442368,-0.145357917474079,0.884428288704007,NA,13.0888280717421,8.51564813410121,10.6689194333597,4.27936834450613,14.0085898363324,9.41260857504987,10.0325710576959,0.971801451741031,"Lck"
"79","ENSMUSG00000000411",14220,"ENSMUSG00000000411.8",0.868163559747249,-0.355197837822109,1.7572267310245,-0.202135462402749,0.839810825044805,NA,0,0.851564813410121,1.93980353333813,1.06984208612653,1.07758383356403,0,2.00651421153917,0,"Tssk3"
"80","ENSMUSG00000000416",430,"ENSMUSG00000000416.17",2439.94867117524,-0.351776029132782,0.125784774954544,-2.79665030413981,0.00516353873316225,0.167272729324417,3223.12391266649,2605.78832903497,2344.25257003913,2770.89100306772,2471.97731419589,2195.96158055914,2169.04186267384,1738.5527971647,"Cttnbp2"
"81","ENSMUSG00000000420",3893,"ENSMUSG00000000420.16",758.480704009211,0.152678497957641,0.106948278193128,1.42759192141395,0.153409350230408,0.558653285643327,658.804346277686,682.954980354917,820.53689460203,711.444987274143,741.377677492056,813.249380884309,745.420029586802,894.057335601748,"Galnt1"
"82","ENSMUSG00000000435",14221,"ENSMUSG00000000435.2",0.404093937586513,2.13522319327152,3.37248347684987,0.633130809366031,0.526648224392933,NA,0,0,0,0,3.2327515006921,0,0,0,"Myf5"
"83","ENSMUSG00000000439",1754,"ENSMUSG00000000439.10",471.85152105654,-0.198858007742084,0.0992944098183446,-2.00271100967202,0.0452083163773969,0.365484491737056,514.827237488523,485.391943643769,475.251865667842,542.409937666151,434.266284926306,429.214951022274,476.547125240553,416.902822796902,"Mkrn2"
"84","ENSMUSG00000000440",1816,"ENSMUSG00000000440.13",68.508123149844,-0.488236313098353,0.246591253559805,-1.97994172968484,0.0477100766795152,0.372800654230353,105.801360246582,92.8205646617032,58.1941060001439,63.1206830814654,58.1895270124579,64.0057383103391,62.2019405577143,43.7310653283464,"Pparg"
"85","ENSMUSG00000000441",257,"ENSMUSG00000000441.18",905.520265188033,-0.323966839714474,0.104007619313839,-3.11483756528372,0.00184046231050224,0.101619300334734,1184.53894049266,1009.9558687044,888.430018268864,944.670562049727,807.110291339462,791.600381161694,830.696883577217,787.159175910235,"Raf1"
"86","ENSMUSG00000000486",11903,"ENSMUSG00000000486.14",20.2443787454818,0.10511010262666,0.377624415922727,0.278345621190366,0.780747058573792,0.930555207083769,27.2683918161294,20.4375555218429,17.4582318000432,12.8381050335184,26.9395958391009,23.5315214376247,14.0455994807742,19.4360290348206,"Septin1"
